package_id,serial_number,execution_id,product_code,package_type,package_weight_kg,package_length_mm,package_width_mm,package_height_mm,packaging_start,packaging_end,packaging_status
PKG-00000057,SN-00000057,EXEC-000018,GIS-300-4000,WOODEN_CRATE,618.34,2284,1370,2332,2026-01-05 12:43:00,2026-01-05 12:45:00,READY_FOR_SHIPMENT
PKG-00000058,SN-00000058,EXEC-000019,GIS-245-3150,WOODEN_CRATE,428.83,2237,1610,1620,2026-01-05 13:03:00,2026-01-05 13:05:00,READY_FOR_SHIPMENT
PKG-00000059,SN-00000059,EXEC-000019,GIS-245-3150,WOODEN_CRATE,290.79,1804,1599,2043,2026-01-05 13:03:00,2026-01-05 13:05:00,READY_FOR_SHIPMENT
PKG-00000060,SN-00000060,EXEC-000020,GIS-145-3150,WOODEN_CRATE,618.4,2731,1492,2366,2026-01-05 13:23:00,2026-01-05 13:25:00,READY_FOR_SHIPMENT
PKG-00000061,SN-00000061,EXEC-000020,GIS-145-3150,WOODEN_CRATE,519.53,2938,1698,1817,2026-01-05 13:23:00,2026-01-05 13:25:00,READY_FOR_SHIPMENT
PKG-00000062,SN-00000062,EXEC-000020,GIS-145-3150,WOODEN_CRATE,301.66,2245,1259,1624,2026-01-05 13:23:00,2026-01-05 13:25:00,READY_FOR_SHIPMENT
PKG-00000063,SN-00000063,EXEC-000020,GIS-145-3150,WOODEN_CRATE,541.63,1917,1251,2476,2026-01-05 13:23:00,2026-01-05 13:25:00,READY_FOR_SHIPMENT
PKG-00000064,SN-00000064,EXEC-000021,GIS-420-5000,WOODEN_CRATE,436.23,2887,1361,1616,2026-01-05 13:43:00,2026-01-05 13:45:00,READY_FOR_SHIPMENT
PKG-00000065,SN-00000065,EXEC-000022,GIS-072-3150,WOODEN_CRATE,633.13,1964,1390,1640,2026-01-05 14:03:00,2026-01-05 14:05:00,READY_FOR_SHIPMENT
PKG-00000066,SN-00000066,EXEC-000022,GIS-072-3150,WOODEN_CRATE,475.87,3182,1440,2326,2026-01-05 14:03:00,2026-01-05 14:05:00,READY_FOR_SHIPMENT
PKG-00000067,SN-00000067,EXEC-000022,GIS-072-3150,WOODEN_CRATE,271.55,2966,1452,1581,2026-01-05 14:03:00,2026-01-05 14:05:00,READY_FOR_SHIPMENT
PKG-00000068,SN-00000068,EXEC-000022,GIS-072-3150,WOODEN_CRATE,486.33,2658,1797,2570,2026-01-05 14:03:00,2026-01-05 14:05:00,READY_FOR_SHIPMENT
PKG-00000069,SN-00000069,EXEC-000022,GIS-072-3150,WOODEN_CRATE,356.04,2334,1409,2143,2026-01-05 14:03:00,2026-01-05 14:05:00,READY_FOR_SHIPMENT
PKG-00000070,SN-00000070,EXEC-000023,GIS-145-4000,WOODEN_CRATE,322.63,2610,1334,2114,2026-01-05 14:23:00,2026-01-05 14:25:00,READY_FOR_SHIPMENT
PKG-00000071,SN-00000071,EXEC-000023,GIS-145-4000,WOODEN_CRATE,416.61,1948,1209,2438,2026-01-05 14:23:00,2026-01-05 14:25:00,READY_FOR_SHIPMENT
PKG-00000072,SN-00000072,EXEC-000023,GIS-145-4000,WOODEN_CRATE,487.1,2953,1302,1650,2026-01-05 14:23:00,2026-01-05 14:25:00,READY_FOR_SHIPMENT
PKG-00000073,SN-00000073,EXEC-000024,GIS-245-3150,WOODEN_CRATE,451.18,2836,1471,1771,2026-01-06 07:03:00,2026-01-06 07:05:00,READY_FOR_SHIPMENT
PKG-00000074,SN-00000074,EXEC-000025,GIS-300-4000,WOODEN_CRATE,621.3,1940,1450,2256,2026-01-06 07:23:00,2026-01-06 07:25:00,READY_FOR_SHIPMENT
PKG-00000075,SN-00000075,EXEC-000026,GIS-072-2500,WOODEN_CRATE,342.54,2697,1756,2119,2026-01-06 07:43:00,2026-01-06 07:45:00,READY_FOR_SHIPMENT
PKG-00000076,SN-00000076,EXEC-000026,GIS-072-2500,WOODEN_CRATE,483.02,3139,1741,1516,2026-01-06 07:43:00,2026-01-06 07:45:00,READY_FOR_SHIPMENT
PKG-00000077,SN-00000077,EXEC-000026,GIS-072-2500,WOODEN_CRATE,507.18,2935,1506,1712,2026-01-06 07:43:00,2026-01-06 07:45:00,READY_FOR_SHIPMENT
PKG-00000078,SN-00000078,EXEC-000026,GIS-072-2500,WOODEN_CRATE,623.74,2075,1470,1736,2026-01-06 07:43:00,2026-01-06 07:45:00,READY_FOR_SHIPMENT
PKG-00000079,SN-00000079,EXEC-000027,GIS-072-2500,WOODEN_CRATE,602.58,2933,1359,2057,2026-01-06 08:03:00,2026-01-06 08:05:00,READY_FOR_SHIPMENT
PKG-00000080,SN-00000080,EXEC-000027,GIS-072-2500,WOODEN_CRATE,341.16,2231,1551,1916,2026-01-06 08:03:00,2026-01-06 08:05:00,READY_FOR_SHIPMENT
PKG-00000081,SN-00000081,EXEC-000027,GIS-072-2500,WOODEN_CRATE,515.62,2340,1717,2500,2026-01-06 08:03:00,2026-01-06 08:05:00,READY_FOR_SHIPMENT
PKG-00000082,SN-00000082,EXEC-000027,GIS-072-2500,WOODEN_CRATE,327.98,1904,1294,2367,2026-01-06 08:03:00,2026-01-06 08:05:00,READY_FOR_SHIPMENT
PKG-00000083,SN-00000083,EXEC-000027,GIS-072-2500,WOODEN_CRATE,576.62,1890,1203,2183,2026-01-06 08:03:00,2026-01-06 08:05:00,READY_FOR_SHIPMENT
PKG-00000084,SN-00000084,EXEC-000028,GIS-145-3150,WOODEN_CRATE,551.58,3104,1468,1830,2026-01-06 08:23:00,2026-01-06 08:25:00,READY_FOR_SHIPMENT
PKG-00000085,SN-00000085,EXEC-000028,GIS-145-3150,WOODEN_CRATE,538.73,2929,1637,1519,2026-01-06 08:23:00,2026-01-06 08:25:00,READY_FOR_SHIPMENT
PKG-00000086,SN-00000086,EXEC-000028,GIS-145-3150,WOODEN_CRATE,268.11,2105,1758,1573,2026-01-06 08:23:00,2026-01-06 08:25:00,READY_FOR_SHIPMENT
PKG-00000087,SN-00000087,EXEC-000028,GIS-145-3150,WOODEN_CRATE,578.88,2992,1765,1803,2026-01-06 08:23:00,2026-01-06 08:25:00,READY_FOR_SHIPMENT
PKG-00000088,SN-00000088,EXEC-000029,GIS-420-4000,WOODEN_CRATE,404.81,1885,1515,2246,2026-01-06 08:43:00,2026-01-06 08:45:00,READY_FOR_SHIPMENT
PKG-00000089,SN-00000089,EXEC-000029,GIS-420-4000,WOODEN_CRATE,606.56,1881,1566,1930,2026-01-06 08:43:00,2026-01-06 08:45:00,READY_FOR_SHIPMENT
PKG-00000090,SN-00000090,EXEC-000030,GIS-072-2500,WOODEN_CRATE,513.29,3165,1305,2224,2026-01-06 09:03:00,2026-01-06 09:05:00,READY_FOR_SHIPMENT
PKG-00000091,SN-00000091,EXEC-000030,GIS-072-2500,WOODEN_CRATE,555.45,2632,1358,1984,2026-01-06 09:03:00,2026-01-06 09:05:00,READY_FOR_SHIPMENT
PKG-00000092,SN-00000092,EXEC-000030,GIS-072-2500,WOODEN_CRATE,591.78,2162,1622,1550,2026-01-06 09:03:00,2026-01-06 09:05:00,READY_FOR_SHIPMENT
PKG-00000093,SN-00000093,EXEC-000030,GIS-072-2500,WOODEN_CRATE,297.13,2480,1621,2008,2026-01-06 09:03:00,2026-01-06 09:05:00,READY_FOR_SHIPMENT
PKG-00000094,SN-00000094,EXEC-000030,GIS-072-2500,WOODEN_CRATE,334.73,2021,1591,1579,2026-01-06 09:03:00,2026-01-06 09:05:00,READY_FOR_SHIPMENT
PKG-00000095,SN-00000095,EXEC-000031,GIS-072-3150,WOODEN_CRATE,589.2,2255,1404,2442,2026-01-06 09:23:00,2026-01-06 09:25:00,READY_FOR_SHIPMENT
PKG-00000096,SN-00000096,EXEC-000031,GIS-072-3150,WOODEN_CRATE,370.35,2266,1428,1548,2026-01-06 09:23:00,2026-01-06 09:25:00,READY_FOR_SHIPMENT
PKG-00000097,SN-00000097,EXEC-000031,GIS-072-3150,WOODEN_CRATE,503.81,2616,1536,2070,2026-01-06 09:23:00,2026-01-06 09:25:00,READY_FOR_SHIPMENT
PKG-00000098,SN-00000098,EXEC-000031,GIS-072-3150,WOODEN_CRATE,591.67,2371,1559,2543,2026-01-06 09:23:00,2026-01-06 09:25:00,READY_FOR_SHIPMENT
PKG-00000099,SN-00000099,EXEC-000031,GIS-072-3150,WOODEN_CRATE,391.86,2898,1539,1556,2026-01-06 09:23:00,2026-01-06 09:25:00,READY_FOR_SHIPMENT
PKG-00000100,SN-00000100,EXEC-000032,GIS-170-4000,WOODEN_CRATE,269.6,2334,1382,2043,2026-01-06 09:43:00,2026-01-06 09:45:00,READY_FOR_SHIPMENT
PKG-00000101,SN-00000101,EXEC-000032,GIS-170-4000,WOODEN_CRATE,236.45,3021,1644,2207,2026-01-06 09:43:00,2026-01-06 09:45:00,READY_FOR_SHIPMENT
PKG-00000102,SN-00000102,EXEC-000032,GIS-170-4000,WOODEN_CRATE,533.27,2442,1646,2547,2026-01-06 09:43:00,2026-01-06 09:45:00,READY_FOR_SHIPMENT
PKG-00000103,SN-00000103,EXEC-000033,GIS-800-5000,WOODEN_CRATE,269.73,2980,1394,2021,2026-01-06 10:03:00,2026-01-06 10:05:00,READY_FOR_SHIPMENT
PKG-00000104,SN-00000104,EXEC-000034,GIS-072-2500,WOODEN_CRATE,239.09,2693,1201,2564,2026-01-06 10:23:00,2026-01-06 10:25:00,READY_FOR_SHIPMENT
PKG-00000105,SN-00000105,EXEC-000034,GIS-072-2500,WOODEN_CRATE,618.0,2902,1401,2245,2026-01-06 10:23:00,2026-01-06 10:25:00,READY_FOR_SHIPMENT
PKG-00000106,SN-00000106,EXEC-000034,GIS-072-2500,WOODEN_CRATE,405.46,3160,1538,2142,2026-01-06 10:23:00,2026-01-06 10:25:00,READY_FOR_SHIPMENT
PKG-00000107,SN-00000107,EXEC-000035,GIS-072-3150,WOODEN_CRATE,505.26,2055,1507,2538,2026-01-06 10:43:00,2026-01-06 10:45:00,READY_FOR_SHIPMENT
PKG-00000108,SN-00000108,EXEC-000035,GIS-072-3150,WOODEN_CRATE,352.99,2636,1534,2324,2026-01-06 10:43:00,2026-01-06 10:45:00,READY_FOR_SHIPMENT
PKG-00000109,SN-00000109,EXEC-000035,GIS-072-3150,WOODEN_CRATE,519.8,2935,1330,1892,2026-01-06 10:43:00,2026-01-06 10:45:00,READY_FOR_SHIPMENT
PKG-00000110,SN-00000110,EXEC-000036,GIS-145-3150,WOODEN_CRATE,400.79,2576,1378,2116,2026-01-06 11:03:00,2026-01-06 11:05:00,READY_FOR_SHIPMENT
PKG-00000111,SN-00000111,EXEC-000036,GIS-145-3150,WOODEN_CRATE,394.61,1800,1511,2087,2026-01-06 11:03:00,2026-01-06 11:05:00,READY_FOR_SHIPMENT
PKG-00000112,SN-00000112,EXEC-000037,GIS-170-4000,WOODEN_CRATE,310.38,2987,1529,2452,2026-01-06 11:23:00,2026-01-06 11:25:00,READY_FOR_SHIPMENT
PKG-00000113,SN-00000113,EXEC-000037,GIS-170-4000,WOODEN_CRATE,409.97,3183,1418,2546,2026-01-06 11:23:00,2026-01-06 11:25:00,READY_FOR_SHIPMENT
PKG-00000114,SN-00000114,EXEC-000037,GIS-170-4000,WOODEN_CRATE,423.47,2147,1286,2081,2026-01-06 11:23:00,2026-01-06 11:25:00,READY_FOR_SHIPMENT
PKG-00000115,SN-00000115,EXEC-000038,GIS-550-5000,WOODEN_CRATE,441.64,3096,1543,1691,2026-01-06 11:43:00,2026-01-06 11:45:00,READY_FOR_SHIPMENT
PKG-00000116,SN-00000116,EXEC-000039,GIS-072-2500,WOODEN_CRATE,571.92,2281,1517,1960,2026-01-06 12:03:00,2026-01-06 12:05:00,READY_FOR_SHIPMENT
PKG-00000117,SN-00000117,EXEC-000039,GIS-072-2500,WOODEN_CRATE,566.82,2101,1225,1594,2026-01-06 12:03:00,2026-01-06 12:05:00,READY_FOR_SHIPMENT
PKG-00000118,SN-00000118,EXEC-000039,GIS-072-2500,WOODEN_CRATE,325.28,2773,1274,2432,2026-01-06 12:03:00,2026-01-06 12:05:00,READY_FOR_SHIPMENT
PKG-00000119,SN-00000119,EXEC-000039,GIS-072-2500,WOODEN_CRATE,398.21,3089,1789,1898,2026-01-06 12:03:00,2026-01-06 12:05:00,READY_FOR_SHIPMENT
PKG-00000120,SN-00000120,EXEC-000039,GIS-072-2500,WOODEN_CRATE,528.89,2586,1706,2318,2026-01-06 12:03:00,2026-01-06 12:05:00,READY_FOR_SHIPMENT
PKG-00000121,SN-00000121,EXEC-000040,GIS-420-4000,WOODEN_CRATE,324.91,3143,1205,1718,2026-01-06 12:23:00,2026-01-06 12:25:00,READY_FOR_SHIPMENT
PKG-00000122,SN-00000122,EXEC-000040,GIS-420-4000,WOODEN_CRATE,554.72,2248,1380,2560,2026-01-06 12:23:00,2026-01-06 12:25:00,READY_FOR_SHIPMENT
PKG-00000123,SN-00000123,EXEC-000041,GIS-145-3150,WOODEN_CRATE,419.76,2941,1455,1748,2026-01-06 12:43:00,2026-01-06 12:45:00,READY_FOR_SHIPMENT
PKG-00000124,SN-00000124,EXEC-000041,GIS-145-3150,WOODEN_CRATE,416.28,2751,1743,2149,2026-01-06 12:43:00,2026-01-06 12:45:00,READY_FOR_SHIPMENT
PKG-00000125,SN-00000125,EXEC-000041,GIS-145-3150,WOODEN_CRATE,628.52,2706,1716,2373,2026-01-06 12:43:00,2026-01-06 12:45:00,READY_FOR_SHIPMENT
PKG-00000126,SN-00000126,EXEC-000042,GIS-145-4000,WOODEN_CRATE,577.14,2922,1656,1825,2026-01-06 13:03:00,2026-01-06 13:05:00,READY_FOR_SHIPMENT
PKG-00000127,SN-00000127,EXEC-000042,GIS-145-4000,WOODEN_CRATE,539.77,2772,1660,2030,2026-01-06 13:03:00,2026-01-06 13:05:00,READY_FOR_SHIPMENT
PKG-00000128,SN-00000128,EXEC-000042,GIS-145-4000,WOODEN_CRATE,543.26,3105,1483,2567,2026-01-06 13:03:00,2026-01-06 13:05:00,READY_FOR_SHIPMENT
PKG-00000129,SN-00000129,EXEC-000042,GIS-145-4000,WOODEN_CRATE,428.38,2289,1481,2400,2026-01-06 13:03:00,2026-01-06 13:05:00,READY_FOR_SHIPMENT
PKG-00000130,SN-00000130,EXEC-000043,GIS-072-3150,WOODEN_CRATE,253.32,2385,1440,2056,2026-01-06 13:23:00,2026-01-06 13:25:00,READY_FOR_SHIPMENT
PKG-00000131,SN-00000131,EXEC-000043,GIS-072-3150,WOODEN_CRATE,364.41,2906,1282,1783,2026-01-06 13:23:00,2026-01-06 13:25:00,READY_FOR_SHIPMENT
PKG-00000132,SN-00000132,EXEC-000043,GIS-072-3150,WOODEN_CRATE,284.86,2584,1356,1938,2026-01-06 13:23:00,2026-01-06 13:25:00,READY_FOR_SHIPMENT
PKG-00000133,SN-00000133,EXEC-000043,GIS-072-3150,WOODEN_CRATE,247.62,2634,1538,2454,2026-01-06 13:23:00,2026-01-06 13:25:00,READY_FOR_SHIPMENT
PKG-00000134,SN-00000134,EXEC-000043,GIS-072-3150,WOODEN_CRATE,398.78,2223,1630,2297,2026-01-06 13:23:00,2026-01-06 13:25:00,READY_FOR_SHIPMENT
PKG-00000135,SN-00000135,EXEC-000044,GIS-145-4000,WOODEN_CRATE,609.08,2996,1220,2279,2026-01-06 13:43:00,2026-01-06 13:45:00,READY_FOR_SHIPMENT
PKG-00000136,SN-00000136,EXEC-000044,GIS-145-4000,WOODEN_CRATE,425.1,2520,1505,2298,2026-01-06 13:43:00,2026-01-06 13:45:00,READY_FOR_SHIPMENT
PKG-00000137,SN-00000137,EXEC-000045,GIS-072-3150,WOODEN_CRATE,586.98,2658,1751,1951,2026-01-06 14:03:00,2026-01-06 14:05:00,READY_FOR_SHIPMENT
PKG-00000138,SN-00000138,EXEC-000045,GIS-072-3150,WOODEN_CRATE,429.94,2358,1646,2494,2026-01-06 14:03:00,2026-01-06 14:05:00,READY_FOR_SHIPMENT
PKG-00000139,SN-00000139,EXEC-000045,GIS-072-3150,WOODEN_CRATE,232.48,2488,1614,1838,2026-01-06 14:03:00,2026-01-06 14:05:00,READY_FOR_SHIPMENT
PKG-00000140,SN-00000140,EXEC-000045,GIS-072-3150,WOODEN_CRATE,581.42,2061,1746,1555,2026-01-06 14:03:00,2026-01-06 14:05:00,READY_FOR_SHIPMENT
PKG-00000141,SN-00000141,EXEC-000045,GIS-072-3150,WOODEN_CRATE,609.98,3012,1777,1555,2026-01-06 14:03:00,2026-01-06 14:05:00,READY_FOR_SHIPMENT
PKG-00000142,SN-00000142,EXEC-000046,GIS-072-3150,WOODEN_CRATE,256.1,2677,1338,2445,2026-01-06 14:23:00,2026-01-06 14:25:00,READY_FOR_SHIPMENT
