work_order_id,sap_order_number,product_code,quantity,production_line,priority,planned_shift,planned_start,planned_finish,routing_version,planner,status
WO-20260105-000011,5000000011,GIS-145-3150,3,LINE-05,Priority.HIGH,ShiftType.MORNING,2026-01-05 10:05:00,2026-01-05 10:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260105-000012,5000000012,GIS-170-4000,2,LINE-06,Priority.NORMAL,ShiftType.MORNING,2026-01-05 10:25:00,2026-01-05 10:55:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260105-000013,5000000013,GIS-145-4000,3,LINE-01,Priority.LOW,ShiftType.MORNING,2026-01-05 10:45:00,2026-01-05 11:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260105-000014,5000000014,GIS-072-3150,5,LINE-02,Priority.NORMAL,ShiftType.MORNING,2026-01-05 11:05:00,2026-01-05 11:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260105-000015,5000000015,GIS-300-4000,1,LINE-03,Priority.NORMAL,ShiftType.MORNING,2026-01-05 11:25:00,2026-01-05 11:55:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260105-000016,5000000016,GIS-072-2500,3,LINE-04,Priority.HIGH,ShiftType.MORNING,2026-01-05 11:45:00,2026-01-05 12:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260105-000017,5000000017,GIS-550-5000,1,LINE-05,Priority.HIGH,ShiftType.MORNING,2026-01-05 12:05:00,2026-01-05 12:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260105-000018,5000000018,GIS-300-4000,2,LINE-06,Priority.NORMAL,ShiftType.MORNING,2026-01-05 12:25:00,2026-01-05 12:55:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260105-000019,5000000019,GIS-245-3150,2,LINE-01,Priority.NORMAL,ShiftType.MORNING,2026-01-05 12:45:00,2026-01-05 13:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260105-000020,5000000020,GIS-145-3150,4,LINE-02,Priority.NORMAL,ShiftType.MORNING,2026-01-05 13:05:00,2026-01-05 13:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260105-000021,5000000021,GIS-420-5000,1,LINE-03,Priority.NORMAL,ShiftType.MORNING,2026-01-05 13:25:00,2026-01-05 13:55:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260105-000022,5000000022,GIS-072-3150,5,LINE-04,Priority.NORMAL,ShiftType.MORNING,2026-01-05 13:45:00,2026-01-05 14:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260105-000023,5000000023,GIS-145-4000,3,LINE-05,Priority.URGENT,ShiftType.MORNING,2026-01-05 14:05:00,2026-01-05 14:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260106-000024,5000000024,GIS-245-3150,1,LINE-06,Priority.NORMAL,ShiftType.MORNING,2026-01-06 06:45:00,2026-01-06 07:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260106-000025,5000000025,GIS-300-4000,1,LINE-01,Priority.NORMAL,ShiftType.MORNING,2026-01-06 07:05:00,2026-01-06 07:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260106-000026,5000000026,GIS-072-2500,4,LINE-02,Priority.NORMAL,ShiftType.MORNING,2026-01-06 07:25:00,2026-01-06 07:55:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260106-000027,5000000027,GIS-072-2500,5,LINE-03,Priority.HIGH,ShiftType.MORNING,2026-01-06 07:45:00,2026-01-06 08:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260106-000028,5000000028,GIS-145-3150,4,LINE-04,Priority.NORMAL,ShiftType.MORNING,2026-01-06 08:05:00,2026-01-06 08:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260106-000029,5000000029,GIS-420-4000,2,LINE-05,Priority.NORMAL,ShiftType.MORNING,2026-01-06 08:25:00,2026-01-06 08:55:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260106-000030,5000000030,GIS-072-2500,5,LINE-06,Priority.NORMAL,ShiftType.MORNING,2026-01-06 08:45:00,2026-01-06 09:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260106-000031,5000000031,GIS-072-3150,5,LINE-01,Priority.NORMAL,ShiftType.MORNING,2026-01-06 09:05:00,2026-01-06 09:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260106-000032,5000000032,GIS-170-4000,3,LINE-02,Priority.NORMAL,ShiftType.MORNING,2026-01-06 09:25:00,2026-01-06 09:55:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260106-000033,5000000033,GIS-800-5000,1,LINE-03,Priority.NORMAL,ShiftType.MORNING,2026-01-06 09:45:00,2026-01-06 10:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260106-000034,5000000034,GIS-072-2500,3,LINE-04,Priority.HIGH,ShiftType.MORNING,2026-01-06 10:05:00,2026-01-06 10:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260106-000035,5000000035,GIS-072-3150,3,LINE-05,Priority.HIGH,ShiftType.MORNING,2026-01-06 10:25:00,2026-01-06 10:55:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260106-000036,5000000036,GIS-145-3150,2,LINE-06,Priority.NORMAL,ShiftType.MORNING,2026-01-06 10:45:00,2026-01-06 11:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260106-000037,5000000037,GIS-170-4000,3,LINE-01,Priority.NORMAL,ShiftType.MORNING,2026-01-06 11:05:00,2026-01-06 11:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260106-000038,5000000038,GIS-550-5000,1,LINE-02,Priority.HIGH,ShiftType.MORNING,2026-01-06 11:25:00,2026-01-06 11:55:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260106-000039,5000000039,GIS-072-2500,5,LINE-03,Priority.NORMAL,ShiftType.MORNING,2026-01-06 11:45:00,2026-01-06 12:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260106-000040,5000000040,GIS-420-4000,2,LINE-04,Priority.HIGH,ShiftType.MORNING,2026-01-06 12:05:00,2026-01-06 12:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260106-000041,5000000041,GIS-145-3150,3,LINE-05,Priority.NORMAL,ShiftType.MORNING,2026-01-06 12:25:00,2026-01-06 12:55:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260106-000042,5000000042,GIS-145-4000,4,LINE-06,Priority.HIGH,ShiftType.MORNING,2026-01-06 12:45:00,2026-01-06 13:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260106-000043,5000000043,GIS-072-3150,5,LINE-01,Priority.HIGH,ShiftType.MORNING,2026-01-06 13:05:00,2026-01-06 13:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260106-000044,5000000044,GIS-145-4000,2,LINE-02,Priority.HIGH,ShiftType.MORNING,2026-01-06 13:25:00,2026-01-06 13:55:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260106-000045,5000000045,GIS-072-3150,5,LINE-03,Priority.NORMAL,ShiftType.MORNING,2026-01-06 13:45:00,2026-01-06 14:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260106-000046,5000000046,GIS-072-3150,4,LINE-04,Priority.HIGH,ShiftType.MORNING,2026-01-06 14:05:00,2026-01-06 14:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260107-000047,5000000047,GIS-420-5000,1,LINE-05,Priority.NORMAL,ShiftType.MORNING,2026-01-07 06:45:00,2026-01-07 07:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260107-000048,5000000048,GIS-145-4000,2,LINE-06,Priority.HIGH,ShiftType.MORNING,2026-01-07 07:05:00,2026-01-07 07:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260107-000049,5000000049,GIS-420-4000,2,LINE-01,Priority.NORMAL,ShiftType.MORNING,2026-01-07 07:25:00,2026-01-07 07:55:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260107-000050,5000000050,GIS-072-3150,5,LINE-02,Priority.HIGH,ShiftType.MORNING,2026-01-07 07:45:00,2026-01-07 08:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260107-000051,5000000051,GIS-072-2500,4,LINE-03,Priority.HIGH,ShiftType.MORNING,2026-01-07 08:05:00,2026-01-07 08:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260107-000052,5000000052,GIS-550-5000,1,LINE-04,Priority.NORMAL,ShiftType.MORNING,2026-01-07 08:25:00,2026-01-07 08:55:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260107-000053,5000000053,GIS-072-2500,5,LINE-05,Priority.NORMAL,ShiftType.MORNING,2026-01-07 08:45:00,2026-01-07 09:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260107-000054,5000000054,GIS-145-4000,3,LINE-06,Priority.NORMAL,ShiftType.MORNING,2026-01-07 09:05:00,2026-01-07 09:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260107-000055,5000000055,GIS-170-4000,2,LINE-01,Priority.HIGH,ShiftType.MORNING,2026-01-07 09:25:00,2026-01-07 09:55:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260107-000056,5000000056,GIS-245-4000,3,LINE-02,Priority.NORMAL,ShiftType.MORNING,2026-01-07 09:45:00,2026-01-07 10:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260107-000057,5000000057,GIS-145-3150,4,LINE-03,Priority.NORMAL,ShiftType.MORNING,2026-01-07 10:05:00,2026-01-07 10:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260107-000058,5000000058,GIS-145-3150,4,LINE-04,Priority.NORMAL,ShiftType.MORNING,2026-01-07 10:25:00,2026-01-07 10:55:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260107-000059,5000000059,GIS-072-3150,3,LINE-05,Priority.NORMAL,ShiftType.MORNING,2026-01-07 10:45:00,2026-01-07 11:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260107-000060,5000000060,GIS-170-4000,2,LINE-06,Priority.NORMAL,ShiftType.MORNING,2026-01-07 11:05:00,2026-01-07 11:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260107-000061,5000000061,GIS-072-2500,5,LINE-01,Priority.NORMAL,ShiftType.MORNING,2026-01-07 11:25:00,2026-01-07 11:55:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260107-000062,5000000062,GIS-072-3150,3,LINE-02,Priority.HIGH,ShiftType.MORNING,2026-01-07 11:45:00,2026-01-07 12:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260107-000063,5000000063,GIS-072-2500,3,LINE-03,Priority.NORMAL,ShiftType.MORNING,2026-01-07 12:05:00,2026-01-07 12:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260107-000064,5000000064,GIS-145-4000,4,LINE-04,Priority.NORMAL,ShiftType.MORNING,2026-01-07 12:25:00,2026-01-07 12:55:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260107-000065,5000000065,GIS-420-5000,2,LINE-05,Priority.NORMAL,ShiftType.MORNING,2026-01-07 12:45:00,2026-01-07 13:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260107-000066,5000000066,GIS-145-4000,3,LINE-06,Priority.NORMAL,ShiftType.MORNING,2026-01-07 13:05:00,2026-01-07 13:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260107-000067,5000000067,GIS-072-2500,4,LINE-01,Priority.NORMAL,ShiftType.MORNING,2026-01-07 13:25:00,2026-01-07 13:55:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260107-000068,5000000068,GIS-145-3150,4,LINE-02,Priority.LOW,ShiftType.MORNING,2026-01-07 13:45:00,2026-01-07 14:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260108-000069,5000000069,GIS-550-5000,1,LINE-03,Priority.LOW,ShiftType.MORNING,2026-01-08 06:45:00,2026-01-08 07:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260108-000070,5000000070,GIS-145-3150,3,LINE-04,Priority.HIGH,ShiftType.MORNING,2026-01-08 07:05:00,2026-01-08 07:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260108-000071,5000000071,GIS-072-2500,3,LINE-05,Priority.NORMAL,ShiftType.MORNING,2026-01-08 07:25:00,2026-01-08 07:55:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260108-000072,5000000072,GIS-145-3150,3,LINE-06,Priority.NORMAL,ShiftType.MORNING,2026-01-08 07:45:00,2026-01-08 08:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260108-000073,5000000073,GIS-145-4000,2,LINE-01,Priority.NORMAL,ShiftType.MORNING,2026-01-08 08:05:00,2026-01-08 08:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260108-000074,5000000074,GIS-300-4000,1,LINE-02,Priority.LOW,ShiftType.MORNING,2026-01-08 08:25:00,2026-01-08 08:55:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260108-000075,5000000075,GIS-800-5000,1,LINE-03,Priority.HIGH,ShiftType.MORNING,2026-01-08 08:45:00,2026-01-08 09:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260108-000076,5000000076,GIS-550-5000,1,LINE-04,Priority.HIGH,ShiftType.MORNING,2026-01-08 09:05:00,2026-01-08 09:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260108-000077,5000000077,GIS-300-4000,1,LINE-05,Priority.NORMAL,ShiftType.MORNING,2026-01-08 09:25:00,2026-01-08 09:55:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260108-000078,5000000078,GIS-145-4000,3,LINE-06,Priority.HIGH,ShiftType.MORNING,2026-01-08 09:45:00,2026-01-08 10:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260108-000079,5000000079,GIS-072-3150,3,LINE-01,Priority.URGENT,ShiftType.MORNING,2026-01-08 10:05:00,2026-01-08 10:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260108-000080,5000000080,GIS-072-3150,4,LINE-02,Priority.NORMAL,ShiftType.MORNING,2026-01-08 10:25:00,2026-01-08 10:55:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260108-000081,5000000081,GIS-245-3150,3,LINE-03,Priority.URGENT,ShiftType.MORNING,2026-01-08 10:45:00,2026-01-08 11:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260108-000082,5000000082,GIS-170-4000,3,LINE-04,Priority.NORMAL,ShiftType.MORNING,2026-01-08 11:05:00,2026-01-08 11:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260108-000083,5000000083,GIS-072-3150,3,LINE-05,Priority.NORMAL,ShiftType.MORNING,2026-01-08 11:25:00,2026-01-08 11:55:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260108-000084,5000000084,GIS-145-4000,4,LINE-06,Priority.NORMAL,ShiftType.MORNING,2026-01-08 11:45:00,2026-01-08 12:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260108-000085,5000000085,GIS-072-2500,4,LINE-01,Priority.NORMAL,ShiftType.MORNING,2026-01-08 12:05:00,2026-01-08 12:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260108-000086,5000000086,GIS-300-4000,1,LINE-02,Priority.LOW,ShiftType.MORNING,2026-01-08 12:25:00,2026-01-08 12:55:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260108-000087,5000000087,GIS-145-4000,2,LINE-03,Priority.LOW,ShiftType.MORNING,2026-01-08 12:45:00,2026-01-08 13:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260108-000088,5000000088,GIS-072-2500,3,LINE-04,Priority.NORMAL,ShiftType.MORNING,2026-01-08 13:05:00,2026-01-08 13:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260108-000089,5000000089,GIS-420-5000,1,LINE-05,Priority.NORMAL,ShiftType.MORNING,2026-01-08 13:25:00,2026-01-08 13:55:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260108-000090,5000000090,GIS-072-2500,3,LINE-06,Priority.NORMAL,ShiftType.MORNING,2026-01-08 13:45:00,2026-01-08 14:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260108-000091,5000000091,GIS-170-4000,3,LINE-01,Priority.HIGH,ShiftType.MORNING,2026-01-08 14:05:00,2026-01-08 14:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260109-000092,5000000092,GIS-245-3150,2,LINE-02,Priority.NORMAL,ShiftType.MORNING,2026-01-09 06:45:00,2026-01-09 07:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260109-000093,5000000093,GIS-145-3150,4,LINE-03,Priority.NORMAL,ShiftType.MORNING,2026-01-09 07:05:00,2026-01-09 07:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260109-000094,5000000094,GIS-145-4000,2,LINE-04,Priority.LOW,ShiftType.MORNING,2026-01-09 07:25:00,2026-01-09 07:55:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260109-000095,5000000095,GIS-170-4000,2,LINE-05,Priority.LOW,ShiftType.MORNING,2026-01-09 07:45:00,2026-01-09 08:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260109-000096,5000000096,GIS-072-3150,4,LINE-06,Priority.NORMAL,ShiftType.MORNING,2026-01-09 08:05:00,2026-01-09 08:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260109-000097,5000000097,GIS-145-3150,2,LINE-01,Priority.HIGH,ShiftType.MORNING,2026-01-09 08:25:00,2026-01-09 08:55:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260109-000098,5000000098,GIS-145-3150,2,LINE-02,Priority.NORMAL,ShiftType.MORNING,2026-01-09 08:45:00,2026-01-09 09:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260109-000099,5000000099,GIS-145-4000,3,LINE-03,Priority.NORMAL,ShiftType.MORNING,2026-01-09 09:05:00,2026-01-09 09:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260109-000100,5000000100,GIS-550-5000,1,LINE-04,Priority.NORMAL,ShiftType.MORNING,2026-01-09 09:25:00,2026-01-09 09:55:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260109-000101,5000000101,GIS-072-2500,5,LINE-05,Priority.NORMAL,ShiftType.MORNING,2026-01-09 09:45:00,2026-01-09 10:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260109-000102,5000000102,GIS-245-3150,1,LINE-06,Priority.NORMAL,ShiftType.MORNING,2026-01-09 10:05:00,2026-01-09 10:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260109-000103,5000000103,GIS-420-4000,1,LINE-01,Priority.NORMAL,ShiftType.MORNING,2026-01-09 10:25:00,2026-01-09 10:55:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260109-000104,5000000104,GIS-170-4000,3,LINE-02,Priority.NORMAL,ShiftType.MORNING,2026-01-09 10:45:00,2026-01-09 11:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260109-000105,5000000105,GIS-245-3150,2,LINE-03,Priority.NORMAL,ShiftType.MORNING,2026-01-09 11:05:00,2026-01-09 11:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260109-000106,5000000106,GIS-072-3150,3,LINE-04,Priority.LOW,ShiftType.MORNING,2026-01-09 11:25:00,2026-01-09 11:55:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260109-000107,5000000107,GIS-145-3150,3,LINE-05,Priority.LOW,ShiftType.MORNING,2026-01-09 11:45:00,2026-01-09 12:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260109-000108,5000000108,GIS-145-3150,2,LINE-06,Priority.NORMAL,ShiftType.MORNING,2026-01-09 12:05:00,2026-01-09 12:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260109-000109,5000000109,GIS-072-3150,5,LINE-01,Priority.NORMAL,ShiftType.MORNING,2026-01-09 12:25:00,2026-01-09 12:55:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260109-000110,5000000110,GIS-245-3150,3,LINE-02,Priority.LOW,ShiftType.MORNING,2026-01-09 12:45:00,2026-01-09 13:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260110-000111,5000000111,GIS-420-5000,1,LINE-03,Priority.NORMAL,ShiftType.MORNING,2026-01-10 06:45:00,2026-01-10 07:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260110-000112,5000000112,GIS-300-4000,1,LINE-04,Priority.NORMAL,ShiftType.MORNING,2026-01-10 07:05:00,2026-01-10 07:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260110-000113,5000000113,GIS-072-2500,4,LINE-05,Priority.HIGH,ShiftType.MORNING,2026-01-10 07:25:00,2026-01-10 07:55:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260110-000114,5000000114,GIS-245-4000,1,LINE-06,Priority.HIGH,ShiftType.MORNING,2026-01-10 07:45:00,2026-01-10 08:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260110-000115,5000000115,GIS-072-3150,3,LINE-01,Priority.NORMAL,ShiftType.MORNING,2026-01-10 08:05:00,2026-01-10 08:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260110-000116,5000000116,GIS-145-3150,4,LINE-02,Priority.HIGH,ShiftType.MORNING,2026-01-10 08:25:00,2026-01-10 08:55:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260110-000117,5000000117,GIS-145-3150,4,LINE-03,Priority.NORMAL,ShiftType.MORNING,2026-01-10 08:45:00,2026-01-10 09:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260110-000118,5000000118,GIS-420-5000,1,LINE-04,Priority.HIGH,ShiftType.MORNING,2026-01-10 09:05:00,2026-01-10 09:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260110-000119,5000000119,GIS-550-5000,1,LINE-05,Priority.HIGH,ShiftType.MORNING,2026-01-10 09:25:00,2026-01-10 09:55:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260110-000120,5000000120,GIS-420-4000,1,LINE-06,Priority.NORMAL,ShiftType.MORNING,2026-01-10 09:45:00,2026-01-10 10:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260110-000121,5000000121,GIS-420-5000,2,LINE-01,Priority.HIGH,ShiftType.MORNING,2026-01-10 10:05:00,2026-01-10 10:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260110-000122,5000000122,GIS-300-4000,1,LINE-02,Priority.NORMAL,ShiftType.MORNING,2026-01-10 10:25:00,2026-01-10 10:55:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260110-000123,5000000123,GIS-245-4000,1,LINE-03,Priority.NORMAL,ShiftType.MORNING,2026-01-10 10:45:00,2026-01-10 11:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260110-000124,5000000124,GIS-072-2500,4,LINE-04,Priority.NORMAL,ShiftType.MORNING,2026-01-10 11:05:00,2026-01-10 11:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260110-000125,5000000125,GIS-300-4000,2,LINE-05,Priority.NORMAL,ShiftType.MORNING,2026-01-10 11:25:00,2026-01-10 11:55:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260110-000126,5000000126,GIS-300-4000,1,LINE-06,Priority.NORMAL,ShiftType.MORNING,2026-01-10 11:45:00,2026-01-10 12:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260110-000127,5000000127,GIS-245-3150,2,LINE-01,Priority.NORMAL,ShiftType.MORNING,2026-01-10 12:05:00,2026-01-10 12:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260110-000128,5000000128,GIS-300-4000,2,LINE-02,Priority.NORMAL,ShiftType.MORNING,2026-01-10 12:25:00,2026-01-10 12:55:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260111-000129,5000000129,GIS-145-3150,4,LINE-03,Priority.NORMAL,ShiftType.MORNING,2026-01-11 06:45:00,2026-01-11 07:15:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260111-000130,5000000130,GIS-072-2500,4,LINE-04,Priority.NORMAL,ShiftType.MORNING,2026-01-11 07:05:00,2026-01-11 07:35:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
WO-20260111-000131,5000000131,GIS-550-5000,1,LINE-05,Priority.NORMAL,ShiftType.MORNING,2026-01-11 07:25:00,2026-01-11 07:55:00,RV-001,Production Planner,WorkOrderStatus.RELEASED
