press_operation_id,serial_number,execution_id,work_order_id,operation_number,operation_name,machine_id,tool_id,operator_id,press_program_id,operation_start,operation_end,target_force_kn,actual_force_kn,force_deviation_kn,displacement_mm,cycle_time_sec,quality_result
POP-00000011,SN-00000003,EXEC-000001,WO-20260105-000001,3,PRESS_FIT_3,PF-L2-S10,TL-ASM-038,OP-0042,PP-0003,2026-01-05 06:47:04,2026-01-05 06:47:39,145.0,146.66,1.66,25.0,35,QualityResult.PASS
POP-00000012,SN-00000003,EXEC-000001,WO-20260105-000001,4,PRESS_FIT_4,PF-L1-S10,TL-GBA-004,OP-0001,PP-0004,2026-01-05 06:48:03,2026-01-05 06:48:38,145.0,145.6,0.6,25.0,35,QualityResult.PASS
POP-00000013,SN-00000004,EXEC-000001,WO-20260105-000001,1,PRESS_FIT_1,PF-L1-S10,TL-GBA-031,OP-0068,PP-0001,2026-01-05 06:45:00,2026-01-05 06:45:35,145.0,142.45,-2.55,25.0,35,QualityResult.PASS
POP-00000014,SN-00000004,EXEC-000001,WO-20260105-000001,2,PRESS_FIT_2,PF-L4-S10,TL-PLT-044,OP-0062,PP-0002,2026-01-05 06:45:55,2026-01-05 06:46:30,145.0,148.34,3.34,25.0,35,QualityResult.PASS
POP-00000015,SN-00000004,EXEC-000001,WO-20260105-000001,3,PRESS_FIT_3,PF-L2-S10,TL-GBA-049,OP-0012,PP-0003,2026-01-05 06:47:01,2026-01-05 06:47:36,145.0,145.98,0.98,25.0,35,QualityResult.PASS
POP-00000016,SN-00000004,EXEC-000001,WO-20260105-000001,4,PRESS_FIT_4,PF-L2-S10,TL-MOT-024,OP-0043,PP-0004,2026-01-05 06:48:03,2026-01-05 06:48:38,145.0,144.78,-0.22,25.0,35,QualityResult.PASS
POP-00000017,SN-00000005,EXEC-000001,WO-20260105-000001,1,PRESS_FIT_1,PF-L2-S10,TL-ASM-029,OP-0055,PP-0001,2026-01-05 06:45:00,2026-01-05 06:45:35,145.0,141.95,-3.05,25.0,35,QualityResult.PASS
POP-00000018,SN-00000005,EXEC-000001,WO-20260105-000001,2,PRESS_FIT_2,PF-L4-S10,TL-GBA-031,OP-0052,PP-0002,2026-01-05 06:46:13,2026-01-05 06:46:48,145.0,141.62,-3.38,25.0,35,QualityResult.PASS
POP-00000019,SN-00000005,EXEC-000001,WO-20260105-000001,3,PRESS_FIT_3,PF-L5-S10,TL-PLT-044,OP-0028,PP-0003,2026-01-05 06:47:20,2026-01-05 06:47:55,145.0,144.82,-0.18,25.0,35,QualityResult.PASS
POP-00000020,SN-00000005,EXEC-000001,WO-20260105-000001,4,PRESS_FIT_4,PF-L6-S10,TL-MOT-006,OP-0066,PP-0004,2026-01-05 06:48:20,2026-01-05 06:48:55,145.0,141.87,-3.13,25.0,35,QualityResult.PASS
POP-00000021,SN-00000006,EXEC-000002,WO-20260105-000002,1,PRESS_FIT_1,PF-L2-S10,TL-ASM-038,OP-0044,PP-0005,2026-01-05 07:05:00,2026-01-05 07:05:36,150.0,153.4,3.4,25.0,36,QualityResult.PASS
POP-00000022,SN-00000006,EXEC-000002,WO-20260105-000002,2,PRESS_FIT_2,PF-L6-S10,TL-DTA-021,OP-0029,PP-0006,2026-01-05 07:05:47,2026-01-05 07:06:23,150.0,148.63,-1.37,25.0,36,QualityResult.PASS
POP-00000023,SN-00000006,EXEC-000002,WO-20260105-000002,3,PRESS_FIT_3,PF-L3-S10,TL-PKG-018,OP-0053,PP-0007,2026-01-05 07:06:59,2026-01-05 07:07:35,150.0,151.86,1.86,25.0,36,QualityResult.PASS
POP-00000024,SN-00000006,EXEC-000002,WO-20260105-000002,4,PRESS_FIT_4,PF-L4-S10,TL-PF-010,OP-0028,PP-0008,2026-01-05 07:07:51,2026-01-05 07:08:27,150.0,147.16,-2.84,25.0,36,QualityResult.PASS
POP-00000025,SN-00000007,EXEC-000002,WO-20260105-000002,1,PRESS_FIT_1,PF-L2-S10,TL-GBA-049,OP-0026,PP-0005,2026-01-05 07:05:00,2026-01-05 07:05:36,150.0,153.47,3.47,25.0,36,QualityResult.PASS
POP-00000026,SN-00000007,EXEC-000002,WO-20260105-000002,2,PRESS_FIT_2,PF-L6-S10,TL-MOT-033,OP-0067,PP-0006,2026-01-05 07:05:59,2026-01-05 07:06:35,150.0,148.71,-1.29,25.0,36,QualityResult.PASS
POP-00000027,SN-00000007,EXEC-000002,WO-20260105-000002,3,PRESS_FIT_3,PF-L6-S10,TL-VIS-050,OP-0020,PP-0007,2026-01-05 07:07:08,2026-01-05 07:07:44,150.0,148.02,-1.98,25.0,36,QualityResult.PASS
POP-00000028,SN-00000007,EXEC-000002,WO-20260105-000002,4,PRESS_FIT_4,PF-L2-S10,TL-GBA-049,OP-0070,PP-0008,2026-01-05 07:08:13,2026-01-05 07:08:49,150.0,149.91,-0.09,25.0,36,QualityResult.PASS
POP-00000029,SN-00000008,EXEC-000002,WO-20260105-000002,1,PRESS_FIT_1,PF-L2-S10,TL-GBA-004,OP-0004,PP-0005,2026-01-05 07:05:00,2026-01-05 07:05:36,150.0,153.12,3.12,25.0,36,QualityResult.PASS
POP-00000030,SN-00000008,EXEC-000002,WO-20260105-000002,2,PRESS_FIT_2,PF-L4-S10,TL-HVT-007,OP-0046,PP-0006,2026-01-05 07:05:57,2026-01-05 07:06:33,150.0,151.54,1.54,25.0,36,QualityResult.PASS
POP-00000031,SN-00000008,EXEC-000002,WO-20260105-000002,3,PRESS_FIT_3,PF-L3-S10,TL-ASM-047,OP-0057,PP-0007,2026-01-05 07:06:43,2026-01-05 07:07:19,150.0,148.89,-1.11,25.0,36,QualityResult.PASS
POP-00000032,SN-00000008,EXEC-000002,WO-20260105-000002,4,PRESS_FIT_4,PF-L5-S10,TL-PKG-054,OP-0008,PP-0008,2026-01-05 07:07:55,2026-01-05 07:08:31,150.0,146.97,-3.03,25.0,36,QualityResult.PASS
POP-00000033,SN-00000009,EXEC-000002,WO-20260105-000002,1,PRESS_FIT_1,PF-L4-S10,TL-ASM-020,OP-0056,PP-0005,2026-01-05 07:05:00,2026-01-05 07:05:36,150.0,149.1,-0.9,25.0,36,QualityResult.PASS
POP-00000034,SN-00000009,EXEC-000002,WO-20260105-000002,2,PRESS_FIT_2,PF-L5-S10,TL-GBA-049,OP-0058,PP-0006,2026-01-05 07:06:04,2026-01-05 07:06:40,150.0,151.28,1.28,25.0,36,QualityResult.PASS
POP-00000035,SN-00000009,EXEC-000002,WO-20260105-000002,3,PRESS_FIT_3,PF-L1-S10,TL-PKG-027,OP-0011,PP-0007,2026-01-05 07:06:56,2026-01-05 07:07:32,150.0,148.62,-1.38,25.0,36,QualityResult.PASS
POP-00000036,SN-00000009,EXEC-000002,WO-20260105-000002,4,PRESS_FIT_4,PF-L4-S10,TL-HVT-007,OP-0066,PP-0008,2026-01-05 07:07:43,2026-01-05 07:08:19,150.0,149.47,-0.53,25.0,36,QualityResult.PASS
POP-00000037,SN-00000010,EXEC-000002,WO-20260105-000002,1,PRESS_FIT_1,PF-L2-S10,TL-DTA-039,OP-0026,PP-0005,2026-01-05 07:05:00,2026-01-05 07:05:36,150.0,147.51,-2.49,25.0,36,QualityResult.PASS
POP-00000038,SN-00000010,EXEC-000002,WO-20260105-000002,2,PRESS_FIT_2,PF-L2-S10,TL-VIS-032,OP-0042,PP-0006,2026-01-05 07:05:51,2026-01-05 07:06:27,150.0,148.73,-1.27,25.0,36,QualityResult.PASS
POP-00000039,SN-00000010,EXEC-000002,WO-20260105-000002,3,PRESS_FIT_3,PF-L5-S10,TL-VIS-014,OP-0055,PP-0007,2026-01-05 07:06:45,2026-01-05 07:07:21,150.0,149.98,-0.02,25.0,36,QualityResult.PASS
POP-00000040,SN-00000010,EXEC-000002,WO-20260105-000002,4,PRESS_FIT_4,PF-L3-S10,TL-PKG-018,OP-0024,PP-0008,2026-01-05 07:07:31,2026-01-05 07:08:07,150.0,150.75,0.75,25.0,36,QualityResult.PASS
POP-00000041,SN-00000011,EXEC-000003,WO-20260105-000003,1,PRESS_FIT_1,PF-L1-S10,TL-HVT-043,OP-0018,PP-0025,2026-01-05 07:25:00,2026-01-05 07:25:47,170.0,166.94,-3.06,25.0,47,QualityResult.PASS
POP-00000042,SN-00000011,EXEC-000003,WO-20260105-000003,2,PRESS_FIT_2,PF-L1-S10,TL-VIS-005,OP-0037,PP-0026,2026-01-05 07:26:21,2026-01-05 07:27:08,170.0,168.77,-1.23,25.0,47,QualityResult.PASS
POP-00000043,SN-00000011,EXEC-000003,WO-20260105-000003,3,PRESS_FIT_3,PF-L1-S10,TL-VIS-014,OP-0024,PP-0027,2026-01-05 07:27:33,2026-01-05 07:28:20,170.0,168.59,-1.41,25.0,47,QualityResult.PASS
POP-00000044,SN-00000011,EXEC-000003,WO-20260105-000003,4,PRESS_FIT_4,PF-L3-S10,TL-DTA-012,OP-0027,PP-0028,2026-01-05 07:28:37,2026-01-05 07:29:24,170.0,171.67,1.67,25.0,47,QualityResult.PASS
POP-00000045,SN-00000012,EXEC-000003,WO-20260105-000003,1,PRESS_FIT_1,PF-L6-S10,TL-HVT-043,OP-0036,PP-0025,2026-01-05 07:25:00,2026-01-05 07:25:47,170.0,170.21,0.21,25.0,47,QualityResult.PASS
POP-00000046,SN-00000012,EXEC-000003,WO-20260105-000003,2,PRESS_FIT_2,PF-L2-S10,TL-PKG-027,OP-0061,PP-0026,2026-01-05 07:26:14,2026-01-05 07:27:01,170.0,173.18,3.18,25.0,47,QualityResult.PASS
POP-00000047,SN-00000012,EXEC-000003,WO-20260105-000003,3,PRESS_FIT_3,PF-L1-S10,TL-HVT-025,OP-0055,PP-0027,2026-01-05 07:27:39,2026-01-05 07:28:26,170.0,166.57,-3.43,25.0,47,QualityResult.PASS
POP-00000048,SN-00000012,EXEC-000003,WO-20260105-000003,4,PRESS_FIT_4,PF-L6-S10,TL-HVT-034,OP-0064,PP-0028,2026-01-05 07:28:59,2026-01-05 07:29:46,170.0,170.01,0.01,25.0,47,QualityResult.PASS
POP-00000049,SN-00000013,EXEC-000003,WO-20260105-000003,1,PRESS_FIT_1,PF-L2-S10,TL-HVT-043,OP-0042,PP-0025,2026-01-05 07:25:00,2026-01-05 07:25:47,170.0,172.16,2.16,25.0,47,QualityResult.PASS
POP-00000050,SN-00000013,EXEC-000003,WO-20260105-000003,2,PRESS_FIT_2,PF-L3-S10,TL-GBA-022,OP-0058,PP-0026,2026-01-05 07:26:03,2026-01-05 07:26:50,170.0,168.87,-1.13,25.0,47,QualityResult.PASS
POP-00000051,SN-00000013,EXEC-000003,WO-20260105-000003,3,PRESS_FIT_3,PF-L3-S10,TL-ASM-020,OP-0043,PP-0027,2026-01-05 07:27:09,2026-01-05 07:27:56,170.0,172.56,2.56,25.0,47,QualityResult.PASS
POP-00000052,SN-00000013,EXEC-000003,WO-20260105-000003,4,PRESS_FIT_4,PF-L2-S10,TL-MOT-015,OP-0005,PP-0028,2026-01-05 07:28:35,2026-01-05 07:29:22,170.0,167.19,-2.81,25.0,47,QualityResult.PASS
POP-00000053,SN-00000014,EXEC-000004,WO-20260105-000004,1,PRESS_FIT_1,PF-L1-S10,TL-PKG-018,OP-0005,PP-0009,2026-01-05 07:45:00,2026-01-05 07:45:40,155.0,153.59,-1.41,25.0,40,QualityResult.PASS
POP-00000054,SN-00000014,EXEC-000004,WO-20260105-000004,2,PRESS_FIT_2,PF-L6-S10,TL-HVT-016,OP-0056,PP-0010,2026-01-05 07:45:52,2026-01-05 07:46:32,155.0,157.61,2.61,25.0,40,QualityResult.PASS
POP-00000055,SN-00000014,EXEC-000004,WO-20260105-000004,3,PRESS_FIT_3,PF-L3-S10,TL-GBA-022,OP-0004,PP-0011,2026-01-05 07:47:09,2026-01-05 07:47:49,155.0,155.59,0.59,25.0,40,QualityResult.PASS
POP-00000056,SN-00000014,EXEC-000004,WO-20260105-000004,4,PRESS_FIT_4,PF-L6-S10,TL-VIS-014,OP-0014,PP-0012,2026-01-05 07:48:05,2026-01-05 07:48:45,155.0,157.06,2.06,25.0,40,QualityResult.PASS
POP-00000057,SN-00000015,EXEC-000004,WO-20260105-000004,1,PRESS_FIT_1,PF-L1-S10,TL-ASM-047,OP-0041,PP-0009,2026-01-05 07:45:00,2026-01-05 07:45:40,155.0,157.26,2.26,25.0,40,QualityResult.PASS
POP-00000058,SN-00000015,EXEC-000004,WO-20260105-000004,2,PRESS_FIT_2,PF-L2-S10,TL-MOT-042,OP-0021,PP-0010,2026-01-05 07:46:01,2026-01-05 07:46:41,155.0,152.97,-2.03,25.0,40,QualityResult.PASS
POP-00000059,SN-00000015,EXEC-000004,WO-20260105-000004,3,PRESS_FIT_3,PF-L2-S10,TL-DTA-030,OP-0033,PP-0011,2026-01-05 07:46:52,2026-01-05 07:47:32,155.0,152.2,-2.8,25.0,40,QualityResult.PASS
POP-00000060,SN-00000015,EXEC-000004,WO-20260105-000004,4,PRESS_FIT_4,PF-L3-S10,TL-DTA-039,OP-0052,PP-0012,2026-01-05 07:47:58,2026-01-05 07:48:38,155.0,154.33,-0.67,25.0,40,QualityResult.PASS
POP-00000061,SN-00000016,EXEC-000005,WO-20260105-000005,1,PRESS_FIT_1,PF-L2-S10,TL-PKG-045,OP-0050,PP-0005,2026-01-05 08:05:00,2026-01-05 08:05:36,150.0,151.36,1.36,25.0,36,QualityResult.PASS
POP-00000062,SN-00000016,EXEC-000005,WO-20260105-000005,2,PRESS_FIT_2,PF-L4-S10,TL-PKG-009,OP-0008,PP-0006,2026-01-05 08:06:12,2026-01-05 08:06:48,150.0,147.57,-2.43,25.0,36,QualityResult.PASS
POP-00000063,SN-00000016,EXEC-000005,WO-20260105-000005,3,PRESS_FIT_3,PF-L4-S10,TL-VIS-050,OP-0049,PP-0007,2026-01-05 08:06:58,2026-01-05 08:07:34,150.0,151.68,1.68,25.0,36,QualityResult.PASS
POP-00000064,SN-00000016,EXEC-000005,WO-20260105-000005,4,PRESS_FIT_4,PF-L2-S10,TL-MOT-033,OP-0057,PP-0008,2026-01-05 08:08:09,2026-01-05 08:08:45,150.0,149.18,-0.82,25.0,36,QualityResult.PASS
POP-00000065,SN-00000017,EXEC-000005,WO-20260105-000005,1,PRESS_FIT_1,PF-L3-S10,TL-ASM-020,OP-0007,PP-0005,2026-01-05 08:05:00,2026-01-05 08:05:36,150.0,149.86,-0.14,25.0,36,QualityResult.PASS
POP-00000066,SN-00000017,EXEC-000005,WO-20260105-000005,2,PRESS_FIT_2,PF-L2-S10,TL-PLT-044,OP-0039,PP-0006,2026-01-05 08:06:13,2026-01-05 08:06:49,150.0,153.44,3.44,25.0,36,QualityResult.PASS
POP-00000067,SN-00000017,EXEC-000005,WO-20260105-000005,3,PRESS_FIT_3,PF-L6-S10,TL-PLT-044,OP-0060,PP-0007,2026-01-05 08:07:11,2026-01-05 08:07:47,150.0,146.71,-3.29,25.0,36,QualityResult.PASS
POP-00000068,SN-00000017,EXEC-000005,WO-20260105-000005,4,PRESS_FIT_4,PF-L2-S10,TL-PF-037,OP-0045,PP-0008,2026-01-05 08:08:18,2026-01-05 08:08:54,150.0,151.43,1.43,25.0,36,QualityResult.PASS
POP-00000069,SN-00000018,EXEC-000005,WO-20260105-000005,1,PRESS_FIT_1,PF-L1-S10,TL-MOT-015,OP-0069,PP-0005,2026-01-05 08:05:00,2026-01-05 08:05:36,150.0,147.21,-2.79,25.0,36,QualityResult.PASS
POP-00000070,SN-00000018,EXEC-000005,WO-20260105-000005,2,PRESS_FIT_2,PF-L2-S10,TL-VIS-041,OP-0044,PP-0006,2026-01-05 08:05:55,2026-01-05 08:06:31,150.0,151.3,1.3,25.0,36,QualityResult.PASS
POP-00000071,SN-00000018,EXEC-000005,WO-20260105-000005,3,PRESS_FIT_3,PF-L4-S10,TL-PF-046,OP-0010,PP-0007,2026-01-05 08:06:41,2026-01-05 08:07:17,150.0,148.64,-1.36,25.0,36,QualityResult.PASS
POP-00000072,SN-00000018,EXEC-000005,WO-20260105-000005,4,PRESS_FIT_4,PF-L1-S10,TL-DTA-003,OP-0035,PP-0008,2026-01-05 08:07:54,2026-01-05 08:08:30,150.0,152.65,2.65,25.0,36,QualityResult.PASS
POP-00000073,SN-00000019,EXEC-000005,WO-20260105-000005,1,PRESS_FIT_1,PF-L4-S10,TL-GBA-022,OP-0011,PP-0005,2026-01-05 08:05:00,2026-01-05 08:05:36,150.0,148.43,-1.57,25.0,36,QualityResult.PASS
POP-00000074,SN-00000019,EXEC-000005,WO-20260105-000005,2,PRESS_FIT_2,PF-L2-S10,TL-VIS-050,OP-0023,PP-0006,2026-01-05 08:06:09,2026-01-05 08:06:45,150.0,152.41,2.41,25.0,36,QualityResult.PASS
POP-00000075,SN-00000019,EXEC-000005,WO-20260105-000005,3,PRESS_FIT_3,PF-L2-S10,TL-DTA-021,OP-0054,PP-0007,2026-01-05 08:07:06,2026-01-05 08:07:42,150.0,152.48,2.48,25.0,36,QualityResult.PASS
POP-00000076,SN-00000019,EXEC-000005,WO-20260105-000005,4,PRESS_FIT_4,PF-L5-S10,TL-PF-010,OP-0063,PP-0008,2026-01-05 08:08:20,2026-01-05 08:08:56,150.0,148.09,-1.91,25.0,36,QualityResult.PASS
POP-00000077,SN-00000020,EXEC-000005,WO-20260105-000005,1,PRESS_FIT_1,PF-L1-S10,TL-PF-019,OP-0024,PP-0005,2026-01-05 08:05:00,2026-01-05 08:05:36,150.0,151.24,1.24,25.0,36,QualityResult.PASS
POP-00000078,SN-00000020,EXEC-000005,WO-20260105-000005,2,PRESS_FIT_2,PF-L6-S10,TL-ASM-020,OP-0019,PP-0006,2026-01-05 08:06:09,2026-01-05 08:06:45,150.0,149.48,-0.52,25.0,36,QualityResult.PASS
POP-00000079,SN-00000020,EXEC-000005,WO-20260105-000005,3,PRESS_FIT_3,PF-L6-S10,TL-GBA-013,OP-0002,PP-0007,2026-01-05 08:07:04,2026-01-05 08:07:40,150.0,150.08,0.08,25.0,36,QualityResult.PASS
POP-00000080,SN-00000020,EXEC-000005,WO-20260105-000005,4,PRESS_FIT_4,PF-L3-S10,TL-GBA-031,OP-0033,PP-0008,2026-01-05 08:08:04,2026-01-05 08:08:40,150.0,148.84,-1.16,25.0,36,QualityResult.PASS
POP-00000081,SN-00000021,EXEC-000006,WO-20260105-000006,1,PRESS_FIT_1,PF-L3-S10,TL-PKG-036,OP-0015,PP-0005,2026-01-05 08:25:00,2026-01-05 08:25:36,150.0,151.19,1.19,25.0,36,QualityResult.PASS
POP-00000082,SN-00000021,EXEC-000006,WO-20260105-000006,2,PRESS_FIT_2,PF-L1-S10,TL-ASM-002,OP-0042,PP-0006,2026-01-05 08:25:53,2026-01-05 08:26:29,150.0,147.56,-2.44,25.0,36,QualityResult.PASS
POP-00000083,SN-00000021,EXEC-000006,WO-20260105-000006,3,PRESS_FIT_3,PF-L1-S10,TL-MOT-006,OP-0041,PP-0007,2026-01-05 08:27:06,2026-01-05 08:27:42,150.0,149.0,-1.0,25.0,36,QualityResult.PASS
POP-00000084,SN-00000021,EXEC-000006,WO-20260105-000006,4,PRESS_FIT_4,PF-L3-S10,TL-MOT-051,OP-0019,PP-0008,2026-01-05 08:27:59,2026-01-05 08:28:35,150.0,150.89,0.89,25.0,36,QualityResult.PASS
POP-00000085,SN-00000022,EXEC-000006,WO-20260105-000006,1,PRESS_FIT_1,PF-L2-S10,TL-VIS-014,OP-0046,PP-0005,2026-01-05 08:25:00,2026-01-05 08:25:36,150.0,150.7,0.7,25.0,36,QualityResult.PASS
POP-00000086,SN-00000022,EXEC-000006,WO-20260105-000006,2,PRESS_FIT_2,PF-L6-S10,TL-ASM-038,OP-0050,PP-0006,2026-01-05 08:25:48,2026-01-05 08:26:24,150.0,153.24,3.24,25.0,36,QualityResult.PASS
POP-00000087,SN-00000022,EXEC-000006,WO-20260105-000006,3,PRESS_FIT_3,PF-L4-S10,TL-DTA-039,OP-0033,PP-0007,2026-01-05 08:26:43,2026-01-05 08:27:19,150.0,148.71,-1.29,25.0,36,QualityResult.PASS
POP-00000088,SN-00000022,EXEC-000006,WO-20260105-000006,4,PRESS_FIT_4,PF-L4-S10,TL-ASM-038,OP-0047,PP-0008,2026-01-05 08:27:31,2026-01-05 08:28:07,150.0,146.79,-3.21,25.0,36,QualityResult.PASS
POP-00000089,SN-00000023,EXEC-000006,WO-20260105-000006,1,PRESS_FIT_1,PF-L4-S10,TL-VIS-023,OP-0046,PP-0005,2026-01-05 08:25:00,2026-01-05 08:25:36,150.0,148.99,-1.01,25.0,36,QualityResult.PASS
POP-00000090,SN-00000023,EXEC-000006,WO-20260105-000006,2,PRESS_FIT_2,PF-L2-S10,TL-DTA-039,OP-0059,PP-0006,2026-01-05 08:25:48,2026-01-05 08:26:24,150.0,153.03,3.03,25.0,36,QualityResult.PASS
POP-00000091,SN-00000023,EXEC-000006,WO-20260105-000006,3,PRESS_FIT_3,PF-L5-S10,TL-PKG-009,OP-0020,PP-0007,2026-01-05 08:26:46,2026-01-05 08:27:22,150.0,150.06,0.06,25.0,36,QualityResult.PASS
POP-00000092,SN-00000023,EXEC-000006,WO-20260105-000006,4,PRESS_FIT_4,PF-L2-S10,TL-VIS-032,OP-0033,PP-0008,2026-01-05 08:27:33,2026-01-05 08:28:09,150.0,146.67,-3.33,25.0,36,QualityResult.PASS
POP-00000093,SN-00000024,EXEC-000006,WO-20260105-000006,1,PRESS_FIT_1,PF-L1-S10,TL-HVT-043,OP-0041,PP-0005,2026-01-05 08:25:00,2026-01-05 08:25:36,150.0,149.55,-0.45,25.0,36,QualityResult.PASS
POP-00000094,SN-00000024,EXEC-000006,WO-20260105-000006,2,PRESS_FIT_2,PF-L5-S10,TL-ASM-020,OP-0060,PP-0006,2026-01-05 08:26:07,2026-01-05 08:26:43,150.0,151.99,1.99,25.0,36,QualityResult.PASS
POP-00000095,SN-00000024,EXEC-000006,WO-20260105-000006,3,PRESS_FIT_3,PF-L3-S10,TL-MOT-033,OP-0043,PP-0007,2026-01-05 08:27:08,2026-01-05 08:27:44,150.0,151.47,1.47,25.0,36,QualityResult.PASS
POP-00000096,SN-00000024,EXEC-000006,WO-20260105-000006,4,PRESS_FIT_4,PF-L6-S10,TL-PF-037,OP-0006,PP-0008,2026-01-05 08:28:02,2026-01-05 08:28:38,150.0,148.77,-1.23,25.0,36,QualityResult.PASS
POP-00000097,SN-00000025,EXEC-000006,WO-20260105-000006,1,PRESS_FIT_1,PF-L2-S10,TL-MOT-033,OP-0028,PP-0005,2026-01-05 08:25:00,2026-01-05 08:25:36,150.0,151.44,1.44,25.0,36,QualityResult.PASS
POP-00000098,SN-00000025,EXEC-000006,WO-20260105-000006,2,PRESS_FIT_2,PF-L1-S10,TL-PF-037,OP-0038,PP-0006,2026-01-05 08:26:00,2026-01-05 08:26:36,150.0,150.89,0.89,25.0,36,QualityResult.PASS
POP-00000099,SN-00000025,EXEC-000006,WO-20260105-000006,3,PRESS_FIT_3,PF-L6-S10,TL-PKG-018,OP-0066,PP-0007,2026-01-05 08:26:58,2026-01-05 08:27:34,150.0,149.83,-0.17,25.0,36,QualityResult.PASS
POP-00000100,SN-00000025,EXEC-000006,WO-20260105-000006,4,PRESS_FIT_4,PF-L2-S10,TL-PKG-009,OP-0046,PP-0008,2026-01-05 08:27:52,2026-01-05 08:28:28,150.0,153.12,3.12,25.0,36,QualityResult.PASS
POP-00000101,SN-00000026,EXEC-000007,WO-20260105-000007,1,PRESS_FIT_1,PF-L4-S10,TL-DTA-003,OP-0044,PP-0009,2026-01-05 08:45:00,2026-01-05 08:45:40,155.0,152.49,-2.51,25.0,40,QualityResult.PASS
POP-00000102,SN-00000026,EXEC-000007,WO-20260105-000007,2,PRESS_FIT_2,PF-L5-S10,TL-GBA-022,OP-0036,PP-0010,2026-01-05 08:46:20,2026-01-05 08:47:00,155.0,152.58,-2.42,25.0,40,QualityResult.PASS
POP-00000103,SN-00000026,EXEC-000007,WO-20260105-000007,3,PRESS_FIT_3,PF-L3-S10,TL-DTA-039,OP-0014,PP-0011,2026-01-05 08:47:33,2026-01-05 08:48:13,155.0,155.24,0.24,25.0,40,QualityResult.PASS
POP-00000104,SN-00000026,EXEC-000007,WO-20260105-000007,4,PRESS_FIT_4,PF-L3-S10,TL-ASM-002,OP-0051,PP-0012,2026-01-05 08:48:34,2026-01-05 08:49:14,155.0,157.33,2.33,25.0,40,QualityResult.PASS
POP-00000105,SN-00000027,EXEC-000007,WO-20260105-000007,1,PRESS_FIT_1,PF-L5-S10,TL-DTA-003,OP-0048,PP-0009,2026-01-05 08:45:00,2026-01-05 08:45:40,155.0,153.51,-1.49,25.0,40,QualityResult.PASS
POP-00000106,SN-00000027,EXEC-000007,WO-20260105-000007,2,PRESS_FIT_2,PF-L5-S10,TL-HVT-007,OP-0057,PP-0010,2026-01-05 08:46:19,2026-01-05 08:46:59,155.0,154.46,-0.54,25.0,40,QualityResult.PASS
