serial_number,execution_id,work_order_id,sap_order_number,product_code,product_name,production_line,manufacturing_date,status
SN-00000022,EXEC-000006,WO-20260105-000006,5000000006,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-06,2026-01-05 08:25:00,IN_PRODUCTION
SN-00000023,EXEC-000006,WO-20260105-000006,5000000006,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-06,2026-01-05 08:25:00,IN_PRODUCTION
SN-00000024,EXEC-000006,WO-20260105-000006,5000000006,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-06,2026-01-05 08:25:00,IN_PRODUCTION
SN-00000025,EXEC-000006,WO-20260105-000006,5000000006,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-06,2026-01-05 08:25:00,IN_PRODUCTION
SN-00000026,EXEC-000007,WO-20260105-000007,5000000007,GIS-145-3150,GIS Bay 145 kV / 3150 A,LINE-01,2026-01-05 08:45:00,IN_PRODUCTION
SN-00000027,EXEC-000007,WO-20260105-000007,5000000007,GIS-145-3150,GIS Bay 145 kV / 3150 A,LINE-01,2026-01-05 08:45:00,IN_PRODUCTION
SN-00000028,EXEC-000007,WO-20260105-000007,5000000007,GIS-145-3150,GIS Bay 145 kV / 3150 A,LINE-01,2026-01-05 08:45:00,IN_PRODUCTION
SN-00000029,EXEC-000008,WO-20260105-000008,5000000008,GIS-245-4000,GIS Bay 245 kV / 4000 A,LINE-02,2026-01-05 09:05:00,IN_PRODUCTION
SN-00000030,EXEC-000009,WO-20260105-000009,5000000009,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-03,2026-01-05 09:25:00,IN_PRODUCTION
SN-00000031,EXEC-000009,WO-20260105-000009,5000000009,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-03,2026-01-05 09:25:00,IN_PRODUCTION
SN-00000032,EXEC-000009,WO-20260105-000009,5000000009,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-03,2026-01-05 09:25:00,IN_PRODUCTION
SN-00000033,EXEC-000009,WO-20260105-000009,5000000009,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-03,2026-01-05 09:25:00,IN_PRODUCTION
SN-00000034,EXEC-000010,WO-20260105-000010,5000000010,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-04,2026-01-05 09:45:00,IN_PRODUCTION
SN-00000035,EXEC-000010,WO-20260105-000010,5000000010,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-04,2026-01-05 09:45:00,IN_PRODUCTION
SN-00000036,EXEC-000010,WO-20260105-000010,5000000010,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-04,2026-01-05 09:45:00,IN_PRODUCTION
SN-00000037,EXEC-000010,WO-20260105-000010,5000000010,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-04,2026-01-05 09:45:00,IN_PRODUCTION
SN-00000038,EXEC-000011,WO-20260105-000011,5000000011,GIS-145-3150,GIS Bay 145 kV / 3150 A,LINE-05,2026-01-05 10:05:00,IN_PRODUCTION
SN-00000039,EXEC-000011,WO-20260105-000011,5000000011,GIS-145-3150,GIS Bay 145 kV / 3150 A,LINE-05,2026-01-05 10:05:00,IN_PRODUCTION
SN-00000040,EXEC-000011,WO-20260105-000011,5000000011,GIS-145-3150,GIS Bay 145 kV / 3150 A,LINE-05,2026-01-05 10:05:00,IN_PRODUCTION
SN-00000041,EXEC-000012,WO-20260105-000012,5000000012,GIS-170-4000,GIS Bay 170 kV / 4000 A,LINE-06,2026-01-05 10:25:00,IN_PRODUCTION
SN-00000042,EXEC-000012,WO-20260105-000012,5000000012,GIS-170-4000,GIS Bay 170 kV / 4000 A,LINE-06,2026-01-05 10:25:00,IN_PRODUCTION
SN-00000043,EXEC-000013,WO-20260105-000013,5000000013,GIS-145-4000,GIS Bay 145 kV / 4000 A,LINE-01,2026-01-05 10:45:00,IN_PRODUCTION
SN-00000044,EXEC-000013,WO-20260105-000013,5000000013,GIS-145-4000,GIS Bay 145 kV / 4000 A,LINE-01,2026-01-05 10:45:00,IN_PRODUCTION
SN-00000045,EXEC-000013,WO-20260105-000013,5000000013,GIS-145-4000,GIS Bay 145 kV / 4000 A,LINE-01,2026-01-05 10:45:00,IN_PRODUCTION
SN-00000046,EXEC-000014,WO-20260105-000014,5000000014,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-02,2026-01-05 11:05:00,IN_PRODUCTION
SN-00000047,EXEC-000014,WO-20260105-000014,5000000014,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-02,2026-01-05 11:05:00,IN_PRODUCTION
SN-00000048,EXEC-000014,WO-20260105-000014,5000000014,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-02,2026-01-05 11:05:00,IN_PRODUCTION
SN-00000049,EXEC-000014,WO-20260105-000014,5000000014,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-02,2026-01-05 11:05:00,IN_PRODUCTION
SN-00000050,EXEC-000014,WO-20260105-000014,5000000014,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-02,2026-01-05 11:05:00,IN_PRODUCTION
SN-00000051,EXEC-000015,WO-20260105-000015,5000000015,GIS-300-4000,GIS Bay 300 kV / 4000 A,LINE-03,2026-01-05 11:25:00,IN_PRODUCTION
SN-00000052,EXEC-000016,WO-20260105-000016,5000000016,GIS-072-2500,GIS Bay 72.5 kV / 2500 A,LINE-04,2026-01-05 11:45:00,IN_PRODUCTION
SN-00000053,EXEC-000016,WO-20260105-000016,5000000016,GIS-072-2500,GIS Bay 72.5 kV / 2500 A,LINE-04,2026-01-05 11:45:00,IN_PRODUCTION
SN-00000054,EXEC-000016,WO-20260105-000016,5000000016,GIS-072-2500,GIS Bay 72.5 kV / 2500 A,LINE-04,2026-01-05 11:45:00,IN_PRODUCTION
SN-00000055,EXEC-000017,WO-20260105-000017,5000000017,GIS-550-5000,GIS Bay 550 kV / 5000 A,LINE-05,2026-01-05 12:05:00,IN_PRODUCTION
SN-00000056,EXEC-000018,WO-20260105-000018,5000000018,GIS-300-4000,GIS Bay 300 kV / 4000 A,LINE-06,2026-01-05 12:25:00,IN_PRODUCTION
SN-00000057,EXEC-000018,WO-20260105-000018,5000000018,GIS-300-4000,GIS Bay 300 kV / 4000 A,LINE-06,2026-01-05 12:25:00,IN_PRODUCTION
SN-00000058,EXEC-000019,WO-20260105-000019,5000000019,GIS-245-3150,GIS Bay 245 kV / 3150 A,LINE-01,2026-01-05 12:45:00,IN_PRODUCTION
SN-00000059,EXEC-000019,WO-20260105-000019,5000000019,GIS-245-3150,GIS Bay 245 kV / 3150 A,LINE-01,2026-01-05 12:45:00,IN_PRODUCTION
SN-00000060,EXEC-000020,WO-20260105-000020,5000000020,GIS-145-3150,GIS Bay 145 kV / 3150 A,LINE-02,2026-01-05 13:05:00,IN_PRODUCTION
SN-00000061,EXEC-000020,WO-20260105-000020,5000000020,GIS-145-3150,GIS Bay 145 kV / 3150 A,LINE-02,2026-01-05 13:05:00,IN_PRODUCTION
SN-00000062,EXEC-000020,WO-20260105-000020,5000000020,GIS-145-3150,GIS Bay 145 kV / 3150 A,LINE-02,2026-01-05 13:05:00,IN_PRODUCTION
SN-00000063,EXEC-000020,WO-20260105-000020,5000000020,GIS-145-3150,GIS Bay 145 kV / 3150 A,LINE-02,2026-01-05 13:05:00,IN_PRODUCTION
SN-00000064,EXEC-000021,WO-20260105-000021,5000000021,GIS-420-5000,GIS Bay 420 kV / 5000 A,LINE-03,2026-01-05 13:25:00,IN_PRODUCTION
SN-00000065,EXEC-000022,WO-20260105-000022,5000000022,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-04,2026-01-05 13:45:00,IN_PRODUCTION
SN-00000066,EXEC-000022,WO-20260105-000022,5000000022,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-04,2026-01-05 13:45:00,IN_PRODUCTION
SN-00000067,EXEC-000022,WO-20260105-000022,5000000022,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-04,2026-01-05 13:45:00,IN_PRODUCTION
SN-00000068,EXEC-000022,WO-20260105-000022,5000000022,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-04,2026-01-05 13:45:00,IN_PRODUCTION
SN-00000069,EXEC-000022,WO-20260105-000022,5000000022,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-04,2026-01-05 13:45:00,IN_PRODUCTION
SN-00000070,EXEC-000023,WO-20260105-000023,5000000023,GIS-145-4000,GIS Bay 145 kV / 4000 A,LINE-05,2026-01-05 14:05:00,IN_PRODUCTION
SN-00000071,EXEC-000023,WO-20260105-000023,5000000023,GIS-145-4000,GIS Bay 145 kV / 4000 A,LINE-05,2026-01-05 14:05:00,IN_PRODUCTION
SN-00000072,EXEC-000023,WO-20260105-000023,5000000023,GIS-145-4000,GIS Bay 145 kV / 4000 A,LINE-05,2026-01-05 14:05:00,IN_PRODUCTION
SN-00000073,EXEC-000024,WO-20260106-000024,5000000024,GIS-245-3150,GIS Bay 245 kV / 3150 A,LINE-06,2026-01-06 06:45:00,IN_PRODUCTION
SN-00000074,EXEC-000025,WO-20260106-000025,5000000025,GIS-300-4000,GIS Bay 300 kV / 4000 A,LINE-01,2026-01-06 07:05:00,IN_PRODUCTION
SN-00000075,EXEC-000026,WO-20260106-000026,5000000026,GIS-072-2500,GIS Bay 72.5 kV / 2500 A,LINE-02,2026-01-06 07:25:00,IN_PRODUCTION
SN-00000076,EXEC-000026,WO-20260106-000026,5000000026,GIS-072-2500,GIS Bay 72.5 kV / 2500 A,LINE-02,2026-01-06 07:25:00,IN_PRODUCTION
SN-00000077,EXEC-000026,WO-20260106-000026,5000000026,GIS-072-2500,GIS Bay 72.5 kV / 2500 A,LINE-02,2026-01-06 07:25:00,IN_PRODUCTION
SN-00000078,EXEC-000026,WO-20260106-000026,5000000026,GIS-072-2500,GIS Bay 72.5 kV / 2500 A,LINE-02,2026-01-06 07:25:00,IN_PRODUCTION
SN-00000079,EXEC-000027,WO-20260106-000027,5000000027,GIS-072-2500,GIS Bay 72.5 kV / 2500 A,LINE-03,2026-01-06 07:45:00,IN_PRODUCTION
SN-00000080,EXEC-000027,WO-20260106-000027,5000000027,GIS-072-2500,GIS Bay 72.5 kV / 2500 A,LINE-03,2026-01-06 07:45:00,IN_PRODUCTION
SN-00000081,EXEC-000027,WO-20260106-000027,5000000027,GIS-072-2500,GIS Bay 72.5 kV / 2500 A,LINE-03,2026-01-06 07:45:00,IN_PRODUCTION
SN-00000082,EXEC-000027,WO-20260106-000027,5000000027,GIS-072-2500,GIS Bay 72.5 kV / 2500 A,LINE-03,2026-01-06 07:45:00,IN_PRODUCTION
SN-00000083,EXEC-000027,WO-20260106-000027,5000000027,GIS-072-2500,GIS Bay 72.5 kV / 2500 A,LINE-03,2026-01-06 07:45:00,IN_PRODUCTION
SN-00000084,EXEC-000028,WO-20260106-000028,5000000028,GIS-145-3150,GIS Bay 145 kV / 3150 A,LINE-04,2026-01-06 08:05:00,IN_PRODUCTION
SN-00000085,EXEC-000028,WO-20260106-000028,5000000028,GIS-145-3150,GIS Bay 145 kV / 3150 A,LINE-04,2026-01-06 08:05:00,IN_PRODUCTION
SN-00000086,EXEC-000028,WO-20260106-000028,5000000028,GIS-145-3150,GIS Bay 145 kV / 3150 A,LINE-04,2026-01-06 08:05:00,IN_PRODUCTION
SN-00000087,EXEC-000028,WO-20260106-000028,5000000028,GIS-145-3150,GIS Bay 145 kV / 3150 A,LINE-04,2026-01-06 08:05:00,IN_PRODUCTION
SN-00000088,EXEC-000029,WO-20260106-000029,5000000029,GIS-420-4000,GIS Bay 420 kV / 4000 A,LINE-05,2026-01-06 08:25:00,IN_PRODUCTION
SN-00000089,EXEC-000029,WO-20260106-000029,5000000029,GIS-420-4000,GIS Bay 420 kV / 4000 A,LINE-05,2026-01-06 08:25:00,IN_PRODUCTION
SN-00000090,EXEC-000030,WO-20260106-000030,5000000030,GIS-072-2500,GIS Bay 72.5 kV / 2500 A,LINE-06,2026-01-06 08:45:00,IN_PRODUCTION
SN-00000091,EXEC-000030,WO-20260106-000030,5000000030,GIS-072-2500,GIS Bay 72.5 kV / 2500 A,LINE-06,2026-01-06 08:45:00,IN_PRODUCTION
SN-00000092,EXEC-000030,WO-20260106-000030,5000000030,GIS-072-2500,GIS Bay 72.5 kV / 2500 A,LINE-06,2026-01-06 08:45:00,IN_PRODUCTION
SN-00000093,EXEC-000030,WO-20260106-000030,5000000030,GIS-072-2500,GIS Bay 72.5 kV / 2500 A,LINE-06,2026-01-06 08:45:00,IN_PRODUCTION
SN-00000094,EXEC-000030,WO-20260106-000030,5000000030,GIS-072-2500,GIS Bay 72.5 kV / 2500 A,LINE-06,2026-01-06 08:45:00,IN_PRODUCTION
SN-00000095,EXEC-000031,WO-20260106-000031,5000000031,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-01,2026-01-06 09:05:00,IN_PRODUCTION
SN-00000096,EXEC-000031,WO-20260106-000031,5000000031,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-01,2026-01-06 09:05:00,IN_PRODUCTION
SN-00000097,EXEC-000031,WO-20260106-000031,5000000031,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-01,2026-01-06 09:05:00,IN_PRODUCTION
SN-00000098,EXEC-000031,WO-20260106-000031,5000000031,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-01,2026-01-06 09:05:00,IN_PRODUCTION
SN-00000099,EXEC-000031,WO-20260106-000031,5000000031,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-01,2026-01-06 09:05:00,IN_PRODUCTION
SN-00000100,EXEC-000032,WO-20260106-000032,5000000032,GIS-170-4000,GIS Bay 170 kV / 4000 A,LINE-02,2026-01-06 09:25:00,IN_PRODUCTION
SN-00000101,EXEC-000032,WO-20260106-000032,5000000032,GIS-170-4000,GIS Bay 170 kV / 4000 A,LINE-02,2026-01-06 09:25:00,IN_PRODUCTION
SN-00000102,EXEC-000032,WO-20260106-000032,5000000032,GIS-170-4000,GIS Bay 170 kV / 4000 A,LINE-02,2026-01-06 09:25:00,IN_PRODUCTION
SN-00000103,EXEC-000033,WO-20260106-000033,5000000033,GIS-800-5000,GIS Bay 800 kV / 5000 A,LINE-03,2026-01-06 09:45:00,IN_PRODUCTION
SN-00000104,EXEC-000034,WO-20260106-000034,5000000034,GIS-072-2500,GIS Bay 72.5 kV / 2500 A,LINE-04,2026-01-06 10:05:00,IN_PRODUCTION
SN-00000105,EXEC-000034,WO-20260106-000034,5000000034,GIS-072-2500,GIS Bay 72.5 kV / 2500 A,LINE-04,2026-01-06 10:05:00,IN_PRODUCTION
SN-00000106,EXEC-000034,WO-20260106-000034,5000000034,GIS-072-2500,GIS Bay 72.5 kV / 2500 A,LINE-04,2026-01-06 10:05:00,IN_PRODUCTION
SN-00000107,EXEC-000035,WO-20260106-000035,5000000035,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-05,2026-01-06 10:25:00,IN_PRODUCTION
SN-00000108,EXEC-000035,WO-20260106-000035,5000000035,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-05,2026-01-06 10:25:00,IN_PRODUCTION
SN-00000109,EXEC-000035,WO-20260106-000035,5000000035,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-05,2026-01-06 10:25:00,IN_PRODUCTION
SN-00000110,EXEC-000036,WO-20260106-000036,5000000036,GIS-145-3150,GIS Bay 145 kV / 3150 A,LINE-06,2026-01-06 10:45:00,IN_PRODUCTION
SN-00000111,EXEC-000036,WO-20260106-000036,5000000036,GIS-145-3150,GIS Bay 145 kV / 3150 A,LINE-06,2026-01-06 10:45:00,IN_PRODUCTION
SN-00000112,EXEC-000037,WO-20260106-000037,5000000037,GIS-170-4000,GIS Bay 170 kV / 4000 A,LINE-01,2026-01-06 11:05:00,IN_PRODUCTION
SN-00000113,EXEC-000037,WO-20260106-000037,5000000037,GIS-170-4000,GIS Bay 170 kV / 4000 A,LINE-01,2026-01-06 11:05:00,IN_PRODUCTION
SN-00000114,EXEC-000037,WO-20260106-000037,5000000037,GIS-170-4000,GIS Bay 170 kV / 4000 A,LINE-01,2026-01-06 11:05:00,IN_PRODUCTION
SN-00000115,EXEC-000038,WO-20260106-000038,5000000038,GIS-550-5000,GIS Bay 550 kV / 5000 A,LINE-02,2026-01-06 11:25:00,IN_PRODUCTION
SN-00000116,EXEC-000039,WO-20260106-000039,5000000039,GIS-072-2500,GIS Bay 72.5 kV / 2500 A,LINE-03,2026-01-06 11:45:00,IN_PRODUCTION
SN-00000117,EXEC-000039,WO-20260106-000039,5000000039,GIS-072-2500,GIS Bay 72.5 kV / 2500 A,LINE-03,2026-01-06 11:45:00,IN_PRODUCTION
SN-00000118,EXEC-000039,WO-20260106-000039,5000000039,GIS-072-2500,GIS Bay 72.5 kV / 2500 A,LINE-03,2026-01-06 11:45:00,IN_PRODUCTION
SN-00000119,EXEC-000039,WO-20260106-000039,5000000039,GIS-072-2500,GIS Bay 72.5 kV / 2500 A,LINE-03,2026-01-06 11:45:00,IN_PRODUCTION
SN-00000120,EXEC-000039,WO-20260106-000039,5000000039,GIS-072-2500,GIS Bay 72.5 kV / 2500 A,LINE-03,2026-01-06 11:45:00,IN_PRODUCTION
SN-00000121,EXEC-000040,WO-20260106-000040,5000000040,GIS-420-4000,GIS Bay 420 kV / 4000 A,LINE-04,2026-01-06 12:05:00,IN_PRODUCTION
SN-00000122,EXEC-000040,WO-20260106-000040,5000000040,GIS-420-4000,GIS Bay 420 kV / 4000 A,LINE-04,2026-01-06 12:05:00,IN_PRODUCTION
SN-00000123,EXEC-000041,WO-20260106-000041,5000000041,GIS-145-3150,GIS Bay 145 kV / 3150 A,LINE-05,2026-01-06 12:25:00,IN_PRODUCTION
SN-00000124,EXEC-000041,WO-20260106-000041,5000000041,GIS-145-3150,GIS Bay 145 kV / 3150 A,LINE-05,2026-01-06 12:25:00,IN_PRODUCTION
SN-00000125,EXEC-000041,WO-20260106-000041,5000000041,GIS-145-3150,GIS Bay 145 kV / 3150 A,LINE-05,2026-01-06 12:25:00,IN_PRODUCTION
SN-00000126,EXEC-000042,WO-20260106-000042,5000000042,GIS-145-4000,GIS Bay 145 kV / 4000 A,LINE-06,2026-01-06 12:45:00,IN_PRODUCTION
SN-00000127,EXEC-000042,WO-20260106-000042,5000000042,GIS-145-4000,GIS Bay 145 kV / 4000 A,LINE-06,2026-01-06 12:45:00,IN_PRODUCTION
SN-00000128,EXEC-000042,WO-20260106-000042,5000000042,GIS-145-4000,GIS Bay 145 kV / 4000 A,LINE-06,2026-01-06 12:45:00,IN_PRODUCTION
SN-00000129,EXEC-000042,WO-20260106-000042,5000000042,GIS-145-4000,GIS Bay 145 kV / 4000 A,LINE-06,2026-01-06 12:45:00,IN_PRODUCTION
SN-00000130,EXEC-000043,WO-20260106-000043,5000000043,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-01,2026-01-06 13:05:00,IN_PRODUCTION
SN-00000131,EXEC-000043,WO-20260106-000043,5000000043,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-01,2026-01-06 13:05:00,IN_PRODUCTION
SN-00000132,EXEC-000043,WO-20260106-000043,5000000043,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-01,2026-01-06 13:05:00,IN_PRODUCTION
SN-00000133,EXEC-000043,WO-20260106-000043,5000000043,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-01,2026-01-06 13:05:00,IN_PRODUCTION
SN-00000134,EXEC-000043,WO-20260106-000043,5000000043,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-01,2026-01-06 13:05:00,IN_PRODUCTION
SN-00000135,EXEC-000044,WO-20260106-000044,5000000044,GIS-145-4000,GIS Bay 145 kV / 4000 A,LINE-02,2026-01-06 13:25:00,IN_PRODUCTION
SN-00000136,EXEC-000044,WO-20260106-000044,5000000044,GIS-145-4000,GIS Bay 145 kV / 4000 A,LINE-02,2026-01-06 13:25:00,IN_PRODUCTION
SN-00000137,EXEC-000045,WO-20260106-000045,5000000045,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-03,2026-01-06 13:45:00,IN_PRODUCTION
SN-00000138,EXEC-000045,WO-20260106-000045,5000000045,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-03,2026-01-06 13:45:00,IN_PRODUCTION
SN-00000139,EXEC-000045,WO-20260106-000045,5000000045,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-03,2026-01-06 13:45:00,IN_PRODUCTION
SN-00000140,EXEC-000045,WO-20260106-000045,5000000045,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-03,2026-01-06 13:45:00,IN_PRODUCTION
SN-00000141,EXEC-000045,WO-20260106-000045,5000000045,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-03,2026-01-06 13:45:00,IN_PRODUCTION
SN-00000142,EXEC-000046,WO-20260106-000046,5000000046,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-04,2026-01-06 14:05:00,IN_PRODUCTION
SN-00000143,EXEC-000046,WO-20260106-000046,5000000046,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-04,2026-01-06 14:05:00,IN_PRODUCTION
SN-00000144,EXEC-000046,WO-20260106-000046,5000000046,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-04,2026-01-06 14:05:00,IN_PRODUCTION
SN-00000145,EXEC-000046,WO-20260106-000046,5000000046,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-04,2026-01-06 14:05:00,IN_PRODUCTION
SN-00000146,EXEC-000047,WO-20260107-000047,5000000047,GIS-420-5000,GIS Bay 420 kV / 5000 A,LINE-05,2026-01-07 06:45:00,IN_PRODUCTION
SN-00000147,EXEC-000048,WO-20260107-000048,5000000048,GIS-145-4000,GIS Bay 145 kV / 4000 A,LINE-06,2026-01-07 07:05:00,IN_PRODUCTION
SN-00000148,EXEC-000048,WO-20260107-000048,5000000048,GIS-145-4000,GIS Bay 145 kV / 4000 A,LINE-06,2026-01-07 07:05:00,IN_PRODUCTION
SN-00000149,EXEC-000049,WO-20260107-000049,5000000049,GIS-420-4000,GIS Bay 420 kV / 4000 A,LINE-01,2026-01-07 07:25:00,IN_PRODUCTION
SN-00000150,EXEC-000049,WO-20260107-000049,5000000049,GIS-420-4000,GIS Bay 420 kV / 4000 A,LINE-01,2026-01-07 07:25:00,IN_PRODUCTION
SN-00000151,EXEC-000050,WO-20260107-000050,5000000050,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-02,2026-01-07 07:45:00,IN_PRODUCTION
SN-00000152,EXEC-000050,WO-20260107-000050,5000000050,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-02,2026-01-07 07:45:00,IN_PRODUCTION
SN-00000153,EXEC-000050,WO-20260107-000050,5000000050,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-02,2026-01-07 07:45:00,IN_PRODUCTION
SN-00000154,EXEC-000050,WO-20260107-000050,5000000050,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-02,2026-01-07 07:45:00,IN_PRODUCTION
SN-00000155,EXEC-000050,WO-20260107-000050,5000000050,GIS-072-3150,GIS Bay 72.5 kV / 3150 A,LINE-02,2026-01-07 07:45:00,IN_PRODUCTION
SN-00000156,EXEC-000051,WO-20260107-000051,5000000051,GIS-072-2500,GIS Bay 72.5 kV / 2500 A,LINE-03,2026-01-07 08:05:00,IN_PRODUCTION
SN-00000157,EXEC-000051,WO-20260107-000051,5000000051,GIS-072-2500,GIS Bay 72.5 kV / 2500 A,LINE-03,2026-01-07 08:05:00,IN_PRODUCTION
