execution_id,work_order_id,sap_order_number,product_code,quantity,plant_code,production_line,planned_shift,execution_start,execution_end,status
EXEC-000026,WO-20260106-000026,5000000026,GIS-072-2500,4,PLANT-001,LINE-02,ShiftType.MORNING,2026-01-06 07:25:00,2026-01-06 07:55:00,ExecutionStatus.PLANNED
EXEC-000027,WO-20260106-000027,5000000027,GIS-072-2500,5,PLANT-001,LINE-03,ShiftType.MORNING,2026-01-06 07:45:00,2026-01-06 08:15:00,ExecutionStatus.PLANNED
EXEC-000028,WO-20260106-000028,5000000028,GIS-145-3150,4,PLANT-001,LINE-04,ShiftType.MORNING,2026-01-06 08:05:00,2026-01-06 08:35:00,ExecutionStatus.PLANNED
EXEC-000029,WO-20260106-000029,5000000029,GIS-420-4000,2,PLANT-001,LINE-05,ShiftType.MORNING,2026-01-06 08:25:00,2026-01-06 08:55:00,ExecutionStatus.PLANNED
EXEC-000030,WO-20260106-000030,5000000030,GIS-072-2500,5,PLANT-001,LINE-06,ShiftType.MORNING,2026-01-06 08:45:00,2026-01-06 09:15:00,ExecutionStatus.PLANNED
EXEC-000031,WO-20260106-000031,5000000031,GIS-072-3150,5,PLANT-001,LINE-01,ShiftType.MORNING,2026-01-06 09:05:00,2026-01-06 09:35:00,ExecutionStatus.PLANNED
EXEC-000032,WO-20260106-000032,5000000032,GIS-170-4000,3,PLANT-001,LINE-02,ShiftType.MORNING,2026-01-06 09:25:00,2026-01-06 09:55:00,ExecutionStatus.PLANNED
EXEC-000033,WO-20260106-000033,5000000033,GIS-800-5000,1,PLANT-001,LINE-03,ShiftType.MORNING,2026-01-06 09:45:00,2026-01-06 10:15:00,ExecutionStatus.PLANNED
EXEC-000034,WO-20260106-000034,5000000034,GIS-072-2500,3,PLANT-001,LINE-04,ShiftType.MORNING,2026-01-06 10:05:00,2026-01-06 10:35:00,ExecutionStatus.PLANNED
EXEC-000035,WO-20260106-000035,5000000035,GIS-072-3150,3,PLANT-001,LINE-05,ShiftType.MORNING,2026-01-06 10:25:00,2026-01-06 10:55:00,ExecutionStatus.PLANNED
EXEC-000036,WO-20260106-000036,5000000036,GIS-145-3150,2,PLANT-001,LINE-06,ShiftType.MORNING,2026-01-06 10:45:00,2026-01-06 11:15:00,ExecutionStatus.PLANNED
EXEC-000037,WO-20260106-000037,5000000037,GIS-170-4000,3,PLANT-001,LINE-01,ShiftType.MORNING,2026-01-06 11:05:00,2026-01-06 11:35:00,ExecutionStatus.PLANNED
EXEC-000038,WO-20260106-000038,5000000038,GIS-550-5000,1,PLANT-001,LINE-02,ShiftType.MORNING,2026-01-06 11:25:00,2026-01-06 11:55:00,ExecutionStatus.PLANNED
EXEC-000039,WO-20260106-000039,5000000039,GIS-072-2500,5,PLANT-001,LINE-03,ShiftType.MORNING,2026-01-06 11:45:00,2026-01-06 12:15:00,ExecutionStatus.PLANNED
EXEC-000040,WO-20260106-000040,5000000040,GIS-420-4000,2,PLANT-001,LINE-04,ShiftType.MORNING,2026-01-06 12:05:00,2026-01-06 12:35:00,ExecutionStatus.PLANNED
EXEC-000041,WO-20260106-000041,5000000041,GIS-145-3150,3,PLANT-001,LINE-05,ShiftType.MORNING,2026-01-06 12:25:00,2026-01-06 12:55:00,ExecutionStatus.PLANNED
EXEC-000042,WO-20260106-000042,5000000042,GIS-145-4000,4,PLANT-001,LINE-06,ShiftType.MORNING,2026-01-06 12:45:00,2026-01-06 13:15:00,ExecutionStatus.PLANNED
EXEC-000043,WO-20260106-000043,5000000043,GIS-072-3150,5,PLANT-001,LINE-01,ShiftType.MORNING,2026-01-06 13:05:00,2026-01-06 13:35:00,ExecutionStatus.PLANNED
EXEC-000044,WO-20260106-000044,5000000044,GIS-145-4000,2,PLANT-001,LINE-02,ShiftType.MORNING,2026-01-06 13:25:00,2026-01-06 13:55:00,ExecutionStatus.PLANNED
EXEC-000045,WO-20260106-000045,5000000045,GIS-072-3150,5,PLANT-001,LINE-03,ShiftType.MORNING,2026-01-06 13:45:00,2026-01-06 14:15:00,ExecutionStatus.PLANNED
EXEC-000046,WO-20260106-000046,5000000046,GIS-072-3150,4,PLANT-001,LINE-04,ShiftType.MORNING,2026-01-06 14:05:00,2026-01-06 14:35:00,ExecutionStatus.PLANNED
EXEC-000047,WO-20260107-000047,5000000047,GIS-420-5000,1,PLANT-001,LINE-05,ShiftType.MORNING,2026-01-07 06:45:00,2026-01-07 07:15:00,ExecutionStatus.PLANNED
EXEC-000048,WO-20260107-000048,5000000048,GIS-145-4000,2,PLANT-001,LINE-06,ShiftType.MORNING,2026-01-07 07:05:00,2026-01-07 07:35:00,ExecutionStatus.PLANNED
EXEC-000049,WO-20260107-000049,5000000049,GIS-420-4000,2,PLANT-001,LINE-01,ShiftType.MORNING,2026-01-07 07:25:00,2026-01-07 07:55:00,ExecutionStatus.PLANNED
EXEC-000050,WO-20260107-000050,5000000050,GIS-072-3150,5,PLANT-001,LINE-02,ShiftType.MORNING,2026-01-07 07:45:00,2026-01-07 08:15:00,ExecutionStatus.PLANNED
EXEC-000051,WO-20260107-000051,5000000051,GIS-072-2500,4,PLANT-001,LINE-03,ShiftType.MORNING,2026-01-07 08:05:00,2026-01-07 08:35:00,ExecutionStatus.PLANNED
EXEC-000052,WO-20260107-000052,5000000052,GIS-550-5000,1,PLANT-001,LINE-04,ShiftType.MORNING,2026-01-07 08:25:00,2026-01-07 08:55:00,ExecutionStatus.PLANNED
EXEC-000053,WO-20260107-000053,5000000053,GIS-072-2500,5,PLANT-001,LINE-05,ShiftType.MORNING,2026-01-07 08:45:00,2026-01-07 09:15:00,ExecutionStatus.PLANNED
EXEC-000054,WO-20260107-000054,5000000054,GIS-145-4000,3,PLANT-001,LINE-06,ShiftType.MORNING,2026-01-07 09:05:00,2026-01-07 09:35:00,ExecutionStatus.PLANNED
EXEC-000055,WO-20260107-000055,5000000055,GIS-170-4000,2,PLANT-001,LINE-01,ShiftType.MORNING,2026-01-07 09:25:00,2026-01-07 09:55:00,ExecutionStatus.PLANNED
EXEC-000056,WO-20260107-000056,5000000056,GIS-245-4000,3,PLANT-001,LINE-02,ShiftType.MORNING,2026-01-07 09:45:00,2026-01-07 10:15:00,ExecutionStatus.PLANNED
EXEC-000057,WO-20260107-000057,5000000057,GIS-145-3150,4,PLANT-001,LINE-03,ShiftType.MORNING,2026-01-07 10:05:00,2026-01-07 10:35:00,ExecutionStatus.PLANNED
EXEC-000058,WO-20260107-000058,5000000058,GIS-145-3150,4,PLANT-001,LINE-04,ShiftType.MORNING,2026-01-07 10:25:00,2026-01-07 10:55:00,ExecutionStatus.PLANNED
EXEC-000059,WO-20260107-000059,5000000059,GIS-072-3150,3,PLANT-001,LINE-05,ShiftType.MORNING,2026-01-07 10:45:00,2026-01-07 11:15:00,ExecutionStatus.PLANNED
EXEC-000060,WO-20260107-000060,5000000060,GIS-170-4000,2,PLANT-001,LINE-06,ShiftType.MORNING,2026-01-07 11:05:00,2026-01-07 11:35:00,ExecutionStatus.PLANNED
EXEC-000061,WO-20260107-000061,5000000061,GIS-072-2500,5,PLANT-001,LINE-01,ShiftType.MORNING,2026-01-07 11:25:00,2026-01-07 11:55:00,ExecutionStatus.PLANNED
EXEC-000062,WO-20260107-000062,5000000062,GIS-072-3150,3,PLANT-001,LINE-02,ShiftType.MORNING,2026-01-07 11:45:00,2026-01-07 12:15:00,ExecutionStatus.PLANNED
EXEC-000063,WO-20260107-000063,5000000063,GIS-072-2500,3,PLANT-001,LINE-03,ShiftType.MORNING,2026-01-07 12:05:00,2026-01-07 12:35:00,ExecutionStatus.PLANNED
EXEC-000064,WO-20260107-000064,5000000064,GIS-145-4000,4,PLANT-001,LINE-04,ShiftType.MORNING,2026-01-07 12:25:00,2026-01-07 12:55:00,ExecutionStatus.PLANNED
EXEC-000065,WO-20260107-000065,5000000065,GIS-420-5000,2,PLANT-001,LINE-05,ShiftType.MORNING,2026-01-07 12:45:00,2026-01-07 13:15:00,ExecutionStatus.PLANNED
EXEC-000066,WO-20260107-000066,5000000066,GIS-145-4000,3,PLANT-001,LINE-06,ShiftType.MORNING,2026-01-07 13:05:00,2026-01-07 13:35:00,ExecutionStatus.PLANNED
EXEC-000067,WO-20260107-000067,5000000067,GIS-072-2500,4,PLANT-001,LINE-01,ShiftType.MORNING,2026-01-07 13:25:00,2026-01-07 13:55:00,ExecutionStatus.PLANNED
EXEC-000068,WO-20260107-000068,5000000068,GIS-145-3150,4,PLANT-001,LINE-02,ShiftType.MORNING,2026-01-07 13:45:00,2026-01-07 14:15:00,ExecutionStatus.PLANNED
EXEC-000069,WO-20260108-000069,5000000069,GIS-550-5000,1,PLANT-001,LINE-03,ShiftType.MORNING,2026-01-08 06:45:00,2026-01-08 07:15:00,ExecutionStatus.PLANNED
EXEC-000070,WO-20260108-000070,5000000070,GIS-145-3150,3,PLANT-001,LINE-04,ShiftType.MORNING,2026-01-08 07:05:00,2026-01-08 07:35:00,ExecutionStatus.PLANNED
EXEC-000071,WO-20260108-000071,5000000071,GIS-072-2500,3,PLANT-001,LINE-05,ShiftType.MORNING,2026-01-08 07:25:00,2026-01-08 07:55:00,ExecutionStatus.PLANNED
EXEC-000072,WO-20260108-000072,5000000072,GIS-145-3150,3,PLANT-001,LINE-06,ShiftType.MORNING,2026-01-08 07:45:00,2026-01-08 08:15:00,ExecutionStatus.PLANNED
EXEC-000073,WO-20260108-000073,5000000073,GIS-145-4000,2,PLANT-001,LINE-01,ShiftType.MORNING,2026-01-08 08:05:00,2026-01-08 08:35:00,ExecutionStatus.PLANNED
EXEC-000074,WO-20260108-000074,5000000074,GIS-300-4000,1,PLANT-001,LINE-02,ShiftType.MORNING,2026-01-08 08:25:00,2026-01-08 08:55:00,ExecutionStatus.PLANNED
EXEC-000075,WO-20260108-000075,5000000075,GIS-800-5000,1,PLANT-001,LINE-03,ShiftType.MORNING,2026-01-08 08:45:00,2026-01-08 09:15:00,ExecutionStatus.PLANNED
EXEC-000076,WO-20260108-000076,5000000076,GIS-550-5000,1,PLANT-001,LINE-04,ShiftType.MORNING,2026-01-08 09:05:00,2026-01-08 09:35:00,ExecutionStatus.PLANNED
EXEC-000077,WO-20260108-000077,5000000077,GIS-300-4000,1,PLANT-001,LINE-05,ShiftType.MORNING,2026-01-08 09:25:00,2026-01-08 09:55:00,ExecutionStatus.PLANNED
EXEC-000078,WO-20260108-000078,5000000078,GIS-145-4000,3,PLANT-001,LINE-06,ShiftType.MORNING,2026-01-08 09:45:00,2026-01-08 10:15:00,ExecutionStatus.PLANNED
EXEC-000079,WO-20260108-000079,5000000079,GIS-072-3150,3,PLANT-001,LINE-01,ShiftType.MORNING,2026-01-08 10:05:00,2026-01-08 10:35:00,ExecutionStatus.PLANNED
EXEC-000080,WO-20260108-000080,5000000080,GIS-072-3150,4,PLANT-001,LINE-02,ShiftType.MORNING,2026-01-08 10:25:00,2026-01-08 10:55:00,ExecutionStatus.PLANNED
EXEC-000081,WO-20260108-000081,5000000081,GIS-245-3150,3,PLANT-001,LINE-03,ShiftType.MORNING,2026-01-08 10:45:00,2026-01-08 11:15:00,ExecutionStatus.PLANNED
EXEC-000082,WO-20260108-000082,5000000082,GIS-170-4000,3,PLANT-001,LINE-04,ShiftType.MORNING,2026-01-08 11:05:00,2026-01-08 11:35:00,ExecutionStatus.PLANNED
EXEC-000083,WO-20260108-000083,5000000083,GIS-072-3150,3,PLANT-001,LINE-05,ShiftType.MORNING,2026-01-08 11:25:00,2026-01-08 11:55:00,ExecutionStatus.PLANNED
EXEC-000084,WO-20260108-000084,5000000084,GIS-145-4000,4,PLANT-001,LINE-06,ShiftType.MORNING,2026-01-08 11:45:00,2026-01-08 12:15:00,ExecutionStatus.PLANNED
EXEC-000085,WO-20260108-000085,5000000085,GIS-072-2500,4,PLANT-001,LINE-01,ShiftType.MORNING,2026-01-08 12:05:00,2026-01-08 12:35:00,ExecutionStatus.PLANNED
EXEC-000086,WO-20260108-000086,5000000086,GIS-300-4000,1,PLANT-001,LINE-02,ShiftType.MORNING,2026-01-08 12:25:00,2026-01-08 12:55:00,ExecutionStatus.PLANNED
EXEC-000087,WO-20260108-000087,5000000087,GIS-145-4000,2,PLANT-001,LINE-03,ShiftType.MORNING,2026-01-08 12:45:00,2026-01-08 13:15:00,ExecutionStatus.PLANNED
EXEC-000088,WO-20260108-000088,5000000088,GIS-072-2500,3,PLANT-001,LINE-04,ShiftType.MORNING,2026-01-08 13:05:00,2026-01-08 13:35:00,ExecutionStatus.PLANNED
EXEC-000089,WO-20260108-000089,5000000089,GIS-420-5000,1,PLANT-001,LINE-05,ShiftType.MORNING,2026-01-08 13:25:00,2026-01-08 13:55:00,ExecutionStatus.PLANNED
EXEC-000090,WO-20260108-000090,5000000090,GIS-072-2500,3,PLANT-001,LINE-06,ShiftType.MORNING,2026-01-08 13:45:00,2026-01-08 14:15:00,ExecutionStatus.PLANNED
EXEC-000091,WO-20260108-000091,5000000091,GIS-170-4000,3,PLANT-001,LINE-01,ShiftType.MORNING,2026-01-08 14:05:00,2026-01-08 14:35:00,ExecutionStatus.PLANNED
EXEC-000092,WO-20260109-000092,5000000092,GIS-245-3150,2,PLANT-001,LINE-02,ShiftType.MORNING,2026-01-09 06:45:00,2026-01-09 07:15:00,ExecutionStatus.PLANNED
EXEC-000093,WO-20260109-000093,5000000093,GIS-145-3150,4,PLANT-001,LINE-03,ShiftType.MORNING,2026-01-09 07:05:00,2026-01-09 07:35:00,ExecutionStatus.PLANNED
EXEC-000094,WO-20260109-000094,5000000094,GIS-145-4000,2,PLANT-001,LINE-04,ShiftType.MORNING,2026-01-09 07:25:00,2026-01-09 07:55:00,ExecutionStatus.PLANNED
EXEC-000095,WO-20260109-000095,5000000095,GIS-170-4000,2,PLANT-001,LINE-05,ShiftType.MORNING,2026-01-09 07:45:00,2026-01-09 08:15:00,ExecutionStatus.PLANNED
EXEC-000096,WO-20260109-000096,5000000096,GIS-072-3150,4,PLANT-001,LINE-06,ShiftType.MORNING,2026-01-09 08:05:00,2026-01-09 08:35:00,ExecutionStatus.PLANNED
EXEC-000097,WO-20260109-000097,5000000097,GIS-145-3150,2,PLANT-001,LINE-01,ShiftType.MORNING,2026-01-09 08:25:00,2026-01-09 08:55:00,ExecutionStatus.PLANNED
EXEC-000098,WO-20260109-000098,5000000098,GIS-145-3150,2,PLANT-001,LINE-02,ShiftType.MORNING,2026-01-09 08:45:00,2026-01-09 09:15:00,ExecutionStatus.PLANNED
EXEC-000099,WO-20260109-000099,5000000099,GIS-145-4000,3,PLANT-001,LINE-03,ShiftType.MORNING,2026-01-09 09:05:00,2026-01-09 09:35:00,ExecutionStatus.PLANNED
EXEC-000100,WO-20260109-000100,5000000100,GIS-550-5000,1,PLANT-001,LINE-04,ShiftType.MORNING,2026-01-09 09:25:00,2026-01-09 09:55:00,ExecutionStatus.PLANNED
EXEC-000101,WO-20260109-000101,5000000101,GIS-072-2500,5,PLANT-001,LINE-05,ShiftType.MORNING,2026-01-09 09:45:00,2026-01-09 10:15:00,ExecutionStatus.PLANNED
EXEC-000102,WO-20260109-000102,5000000102,GIS-245-3150,1,PLANT-001,LINE-06,ShiftType.MORNING,2026-01-09 10:05:00,2026-01-09 10:35:00,ExecutionStatus.PLANNED
EXEC-000103,WO-20260109-000103,5000000103,GIS-420-4000,1,PLANT-001,LINE-01,ShiftType.MORNING,2026-01-09 10:25:00,2026-01-09 10:55:00,ExecutionStatus.PLANNED
EXEC-000104,WO-20260109-000104,5000000104,GIS-170-4000,3,PLANT-001,LINE-02,ShiftType.MORNING,2026-01-09 10:45:00,2026-01-09 11:15:00,ExecutionStatus.PLANNED
EXEC-000105,WO-20260109-000105,5000000105,GIS-245-3150,2,PLANT-001,LINE-03,ShiftType.MORNING,2026-01-09 11:05:00,2026-01-09 11:35:00,ExecutionStatus.PLANNED
EXEC-000106,WO-20260109-000106,5000000106,GIS-072-3150,3,PLANT-001,LINE-04,ShiftType.MORNING,2026-01-09 11:25:00,2026-01-09 11:55:00,ExecutionStatus.PLANNED
EXEC-000107,WO-20260109-000107,5000000107,GIS-145-3150,3,PLANT-001,LINE-05,ShiftType.MORNING,2026-01-09 11:45:00,2026-01-09 12:15:00,ExecutionStatus.PLANNED
EXEC-000108,WO-20260109-000108,5000000108,GIS-145-3150,2,PLANT-001,LINE-06,ShiftType.MORNING,2026-01-09 12:05:00,2026-01-09 12:35:00,ExecutionStatus.PLANNED
EXEC-000109,WO-20260109-000109,5000000109,GIS-072-3150,5,PLANT-001,LINE-01,ShiftType.MORNING,2026-01-09 12:25:00,2026-01-09 12:55:00,ExecutionStatus.PLANNED
EXEC-000110,WO-20260109-000110,5000000110,GIS-245-3150,3,PLANT-001,LINE-02,ShiftType.MORNING,2026-01-09 12:45:00,2026-01-09 13:15:00,ExecutionStatus.PLANNED
EXEC-000111,WO-20260110-000111,5000000111,GIS-420-5000,1,PLANT-001,LINE-03,ShiftType.MORNING,2026-01-10 06:45:00,2026-01-10 07:15:00,ExecutionStatus.PLANNED
EXEC-000112,WO-20260110-000112,5000000112,GIS-300-4000,1,PLANT-001,LINE-04,ShiftType.MORNING,2026-01-10 07:05:00,2026-01-10 07:35:00,ExecutionStatus.PLANNED
EXEC-000113,WO-20260110-000113,5000000113,GIS-072-2500,4,PLANT-001,LINE-05,ShiftType.MORNING,2026-01-10 07:25:00,2026-01-10 07:55:00,ExecutionStatus.PLANNED
EXEC-000114,WO-20260110-000114,5000000114,GIS-245-4000,1,PLANT-001,LINE-06,ShiftType.MORNING,2026-01-10 07:45:00,2026-01-10 08:15:00,ExecutionStatus.PLANNED
EXEC-000115,WO-20260110-000115,5000000115,GIS-072-3150,3,PLANT-001,LINE-01,ShiftType.MORNING,2026-01-10 08:05:00,2026-01-10 08:35:00,ExecutionStatus.PLANNED
EXEC-000116,WO-20260110-000116,5000000116,GIS-145-3150,4,PLANT-001,LINE-02,ShiftType.MORNING,2026-01-10 08:25:00,2026-01-10 08:55:00,ExecutionStatus.PLANNED
EXEC-000117,WO-20260110-000117,5000000117,GIS-145-3150,4,PLANT-001,LINE-03,ShiftType.MORNING,2026-01-10 08:45:00,2026-01-10 09:15:00,ExecutionStatus.PLANNED
EXEC-000118,WO-20260110-000118,5000000118,GIS-420-5000,1,PLANT-001,LINE-04,ShiftType.MORNING,2026-01-10 09:05:00,2026-01-10 09:35:00,ExecutionStatus.PLANNED
EXEC-000119,WO-20260110-000119,5000000119,GIS-550-5000,1,PLANT-001,LINE-05,ShiftType.MORNING,2026-01-10 09:25:00,2026-01-10 09:55:00,ExecutionStatus.PLANNED
EXEC-000120,WO-20260110-000120,5000000120,GIS-420-4000,1,PLANT-001,LINE-06,ShiftType.MORNING,2026-01-10 09:45:00,2026-01-10 10:15:00,ExecutionStatus.PLANNED
EXEC-000121,WO-20260110-000121,5000000121,GIS-420-5000,2,PLANT-001,LINE-01,ShiftType.MORNING,2026-01-10 10:05:00,2026-01-10 10:35:00,ExecutionStatus.PLANNED
EXEC-000122,WO-20260110-000122,5000000122,GIS-300-4000,1,PLANT-001,LINE-02,ShiftType.MORNING,2026-01-10 10:25:00,2026-01-10 10:55:00,ExecutionStatus.PLANNED
EXEC-000123,WO-20260110-000123,5000000123,GIS-245-4000,1,PLANT-001,LINE-03,ShiftType.MORNING,2026-01-10 10:45:00,2026-01-10 11:15:00,ExecutionStatus.PLANNED
EXEC-000124,WO-20260110-000124,5000000124,GIS-072-2500,4,PLANT-001,LINE-04,ShiftType.MORNING,2026-01-10 11:05:00,2026-01-10 11:35:00,ExecutionStatus.PLANNED
EXEC-000125,WO-20260110-000125,5000000125,GIS-300-4000,2,PLANT-001,LINE-05,ShiftType.MORNING,2026-01-10 11:25:00,2026-01-10 11:55:00,ExecutionStatus.PLANNED
EXEC-000126,WO-20260110-000126,5000000126,GIS-300-4000,1,PLANT-001,LINE-06,ShiftType.MORNING,2026-01-10 11:45:00,2026-01-10 12:15:00,ExecutionStatus.PLANNED
EXEC-000127,WO-20260110-000127,5000000127,GIS-245-3150,2,PLANT-001,LINE-01,ShiftType.MORNING,2026-01-10 12:05:00,2026-01-10 12:35:00,ExecutionStatus.PLANNED
EXEC-000128,WO-20260110-000128,5000000128,GIS-300-4000,2,PLANT-001,LINE-02,ShiftType.MORNING,2026-01-10 12:25:00,2026-01-10 12:55:00,ExecutionStatus.PLANNED
EXEC-000129,WO-20260111-000129,5000000129,GIS-145-3150,4,PLANT-001,LINE-03,ShiftType.MORNING,2026-01-11 06:45:00,2026-01-11 07:15:00,ExecutionStatus.PLANNED
EXEC-000130,WO-20260111-000130,5000000130,GIS-072-2500,4,PLANT-001,LINE-04,ShiftType.MORNING,2026-01-11 07:05:00,2026-01-11 07:35:00,ExecutionStatus.PLANNED
EXEC-000131,WO-20260111-000131,5000000131,GIS-550-5000,1,PLANT-001,LINE-05,ShiftType.MORNING,2026-01-11 07:25:00,2026-01-11 07:55:00,ExecutionStatus.PLANNED
EXEC-000132,WO-20260111-000132,5000000132,GIS-072-2500,4,PLANT-001,LINE-06,ShiftType.MORNING,2026-01-11 07:45:00,2026-01-11 08:15:00,ExecutionStatus.PLANNED
EXEC-000133,WO-20260111-000133,5000000133,GIS-245-4000,2,PLANT-001,LINE-01,ShiftType.MORNING,2026-01-11 08:05:00,2026-01-11 08:35:00,ExecutionStatus.PLANNED
EXEC-000134,WO-20260111-000134,5000000134,GIS-145-4000,3,PLANT-001,LINE-02,ShiftType.MORNING,2026-01-11 08:25:00,2026-01-11 08:55:00,ExecutionStatus.PLANNED
EXEC-000135,WO-20260111-000135,5000000135,GIS-072-3150,3,PLANT-001,LINE-03,ShiftType.MORNING,2026-01-11 08:45:00,2026-01-11 09:15:00,ExecutionStatus.PLANNED
EXEC-000136,WO-20260111-000136,5000000136,GIS-072-2500,5,PLANT-001,LINE-04,ShiftType.MORNING,2026-01-11 09:05:00,2026-01-11 09:35:00,ExecutionStatus.PLANNED
EXEC-000137,WO-20260111-000137,5000000137,GIS-420-5000,1,PLANT-001,LINE-05,ShiftType.MORNING,2026-01-11 09:25:00,2026-01-11 09:55:00,ExecutionStatus.PLANNED
EXEC-000138,WO-20260111-000138,5000000138,GIS-072-2500,5,PLANT-001,LINE-06,ShiftType.MORNING,2026-01-11 09:45:00,2026-01-11 10:15:00,ExecutionStatus.PLANNED
EXEC-000139,WO-20260111-000139,5000000139,GIS-170-4000,2,PLANT-001,LINE-01,ShiftType.MORNING,2026-01-11 10:05:00,2026-01-11 10:35:00,ExecutionStatus.PLANNED
EXEC-000140,WO-20260111-000140,5000000140,GIS-145-3150,3,PLANT-001,LINE-02,ShiftType.MORNING,2026-01-11 10:25:00,2026-01-11 10:55:00,ExecutionStatus.PLANNED
