scan_id,serial_number,execution_id,product_code,material_number,batch_number,supplier,scan_timestamp,scan_status
SCAN-00000044,SN-00000044,EXEC-000013,GIS-145-4000,MAT-00000044,BATCH-24977,Siemens Energy,2026-01-05 10:14:00,SUCCESS
SCAN-00000045,SN-00000045,EXEC-000013,GIS-145-4000,MAT-00000045,BATCH-79359,ABB,2026-01-05 10:34:00,SUCCESS
SCAN-00000046,SN-00000046,EXEC-000014,GIS-072-3150,MAT-00000046,BATCH-35841,Siemens Energy,2026-01-05 10:36:00,SUCCESS
SCAN-00000047,SN-00000047,EXEC-000014,GIS-072-3150,MAT-00000047,BATCH-34535,Hitachi Energy,2026-01-05 10:24:00,SUCCESS
SCAN-00000048,SN-00000048,EXEC-000014,GIS-072-3150,MAT-00000048,BATCH-38899,Hitachi Energy,2026-01-05 10:58:00,SUCCESS
SCAN-00000049,SN-00000049,EXEC-000014,GIS-072-3150,MAT-00000049,BATCH-49714,Mitsubishi Electric,2026-01-05 10:51:00,SUCCESS
SCAN-00000050,SN-00000050,EXEC-000014,GIS-072-3150,MAT-00000050,BATCH-79401,Schneider Electric,2026-01-05 10:28:00,SUCCESS
SCAN-00000051,SN-00000051,EXEC-000015,GIS-300-4000,MAT-00000051,BATCH-94092,Siemens Energy,2026-01-05 11:11:00,SUCCESS
SCAN-00000052,SN-00000052,EXEC-000016,GIS-072-2500,MAT-00000052,BATCH-30765,ABB,2026-01-05 11:40:00,SUCCESS
SCAN-00000053,SN-00000053,EXEC-000016,GIS-072-2500,MAT-00000053,BATCH-77704,Hitachi Energy,2026-01-05 11:08:00,SUCCESS
SCAN-00000054,SN-00000054,EXEC-000016,GIS-072-2500,MAT-00000054,BATCH-72079,ABB,2026-01-05 11:01:00,SUCCESS
SCAN-00000055,SN-00000055,EXEC-000017,GIS-550-5000,MAT-00000055,BATCH-25192,Mitsubishi Electric,2026-01-05 11:34:00,SUCCESS
SCAN-00000056,SN-00000056,EXEC-000018,GIS-300-4000,MAT-00000056,BATCH-11077,ABB,2026-01-05 11:49:00,SUCCESS
SCAN-00000057,SN-00000057,EXEC-000018,GIS-300-4000,MAT-00000057,BATCH-14195,ABB,2026-01-05 11:56:00,SUCCESS
SCAN-00000058,SN-00000058,EXEC-000019,GIS-245-3150,MAT-00000058,BATCH-51666,Mitsubishi Electric,2026-01-05 12:09:00,SUCCESS
SCAN-00000059,SN-00000059,EXEC-000019,GIS-245-3150,MAT-00000059,BATCH-84168,ABB,2026-01-05 12:04:00,SUCCESS
SCAN-00000060,SN-00000060,EXEC-000020,GIS-145-3150,MAT-00000060,BATCH-25041,ABB,2026-01-05 12:49:00,SUCCESS
SCAN-00000061,SN-00000061,EXEC-000020,GIS-145-3150,MAT-00000061,BATCH-45703,Siemens Energy,2026-01-05 12:33:00,SUCCESS
SCAN-00000062,SN-00000062,EXEC-000020,GIS-145-3150,MAT-00000062,BATCH-85845,Siemens Energy,2026-01-05 12:23:00,SUCCESS
SCAN-00000063,SN-00000063,EXEC-000020,GIS-145-3150,MAT-00000063,BATCH-13621,Schneider Electric,2026-01-05 12:46:00,SUCCESS
SCAN-00000064,SN-00000064,EXEC-000021,GIS-420-5000,MAT-00000064,BATCH-69518,Schneider Electric,2026-01-05 13:18:00,SUCCESS
SCAN-00000065,SN-00000065,EXEC-000022,GIS-072-3150,MAT-00000065,BATCH-83973,ABB,2026-01-05 13:26:00,SUCCESS
SCAN-00000066,SN-00000066,EXEC-000022,GIS-072-3150,MAT-00000066,BATCH-97506,Hitachi Energy,2026-01-05 13:00:00,SUCCESS
SCAN-00000067,SN-00000067,EXEC-000022,GIS-072-3150,MAT-00000067,BATCH-49160,Hitachi Energy,2026-01-05 13:17:00,SUCCESS
SCAN-00000068,SN-00000068,EXEC-000022,GIS-072-3150,MAT-00000068,BATCH-12739,Hitachi Energy,2026-01-05 13:08:00,SUCCESS
SCAN-00000069,SN-00000069,EXEC-000022,GIS-072-3150,MAT-00000069,BATCH-92227,Mitsubishi Electric,2026-01-05 13:28:00,SUCCESS
SCAN-00000070,SN-00000070,EXEC-000023,GIS-145-4000,MAT-00000070,BATCH-61835,ABB,2026-01-05 13:38:00,SUCCESS
SCAN-00000071,SN-00000071,EXEC-000023,GIS-145-4000,MAT-00000071,BATCH-15782,Siemens Energy,2026-01-05 13:30:00,SUCCESS
SCAN-00000072,SN-00000072,EXEC-000023,GIS-145-4000,MAT-00000072,BATCH-30377,ABB,2026-01-05 13:49:00,SUCCESS
SCAN-00000073,SN-00000073,EXEC-000024,GIS-245-3150,MAT-00000073,BATCH-14319,ABB,2026-01-06 06:25:00,SUCCESS
SCAN-00000074,SN-00000074,EXEC-000025,GIS-300-4000,MAT-00000074,BATCH-33149,Siemens Energy,2026-01-06 06:40:00,SUCCESS
SCAN-00000075,SN-00000075,EXEC-000026,GIS-072-2500,MAT-00000075,BATCH-36273,Siemens Energy,2026-01-06 07:16:00,SUCCESS
SCAN-00000076,SN-00000076,EXEC-000026,GIS-072-2500,MAT-00000076,BATCH-66737,Siemens Energy,2026-01-06 07:05:00,SUCCESS
SCAN-00000077,SN-00000077,EXEC-000026,GIS-072-2500,MAT-00000077,BATCH-62943,Schneider Electric,2026-01-06 06:57:00,SUCCESS
SCAN-00000078,SN-00000078,EXEC-000026,GIS-072-2500,MAT-00000078,BATCH-61484,ABB,2026-01-06 06:52:00,SUCCESS
SCAN-00000079,SN-00000079,EXEC-000027,GIS-072-2500,MAT-00000079,BATCH-98109,Hitachi Energy,2026-01-06 07:07:00,SUCCESS
SCAN-00000080,SN-00000080,EXEC-000027,GIS-072-2500,MAT-00000080,BATCH-64673,Schneider Electric,2026-01-06 07:36:00,SUCCESS
SCAN-00000081,SN-00000081,EXEC-000027,GIS-072-2500,MAT-00000081,BATCH-84225,Hitachi Energy,2026-01-06 07:32:00,SUCCESS
SCAN-00000082,SN-00000082,EXEC-000027,GIS-072-2500,MAT-00000082,BATCH-48429,Siemens Energy,2026-01-06 07:29:00,SUCCESS
SCAN-00000083,SN-00000083,EXEC-000027,GIS-072-2500,MAT-00000083,BATCH-20486,Hitachi Energy,2026-01-06 07:19:00,SUCCESS
SCAN-00000084,SN-00000084,EXEC-000028,GIS-145-3150,MAT-00000084,BATCH-29163,ABB,2026-01-06 07:57:00,SUCCESS
SCAN-00000085,SN-00000085,EXEC-000028,GIS-145-3150,MAT-00000085,BATCH-24824,Mitsubishi Electric,2026-01-06 07:24:00,SUCCESS
SCAN-00000086,SN-00000086,EXEC-000028,GIS-145-3150,MAT-00000086,BATCH-68047,Siemens Energy,2026-01-06 07:59:00,SUCCESS
SCAN-00000087,SN-00000087,EXEC-000028,GIS-145-3150,MAT-00000087,BATCH-54081,ABB,2026-01-06 07:31:00,SUCCESS
SCAN-00000088,SN-00000088,EXEC-000029,GIS-420-4000,MAT-00000088,BATCH-89758,Hitachi Energy,2026-01-06 08:03:00,SUCCESS
SCAN-00000089,SN-00000089,EXEC-000029,GIS-420-4000,MAT-00000089,BATCH-21497,Schneider Electric,2026-01-06 08:09:00,SUCCESS
SCAN-00000090,SN-00000090,EXEC-000030,GIS-072-2500,MAT-00000090,BATCH-57384,Hitachi Energy,2026-01-06 08:06:00,SUCCESS
SCAN-00000091,SN-00000091,EXEC-000030,GIS-072-2500,MAT-00000091,BATCH-84354,ABB,2026-01-06 08:31:00,SUCCESS
SCAN-00000092,SN-00000092,EXEC-000030,GIS-072-2500,MAT-00000092,BATCH-98351,Schneider Electric,2026-01-06 08:28:00,SUCCESS
SCAN-00000093,SN-00000093,EXEC-000030,GIS-072-2500,MAT-00000093,BATCH-92644,Mitsubishi Electric,2026-01-06 08:05:00,SUCCESS
SCAN-00000094,SN-00000094,EXEC-000030,GIS-072-2500,MAT-00000094,BATCH-96974,Hitachi Energy,2026-01-06 08:31:00,SUCCESS
SCAN-00000095,SN-00000095,EXEC-000031,GIS-072-3150,MAT-00000095,BATCH-48626,Hitachi Energy,2026-01-06 08:38:00,SUCCESS
SCAN-00000096,SN-00000096,EXEC-000031,GIS-072-3150,MAT-00000096,BATCH-13286,Hitachi Energy,2026-01-06 08:59:00,SUCCESS
SCAN-00000097,SN-00000097,EXEC-000031,GIS-072-3150,MAT-00000097,BATCH-72919,ABB,2026-01-06 08:20:00,SUCCESS
SCAN-00000098,SN-00000098,EXEC-000031,GIS-072-3150,MAT-00000098,BATCH-93046,Schneider Electric,2026-01-06 08:36:00,SUCCESS
SCAN-00000099,SN-00000099,EXEC-000031,GIS-072-3150,MAT-00000099,BATCH-77687,ABB,2026-01-06 08:28:00,SUCCESS
SCAN-00000100,SN-00000100,EXEC-000032,GIS-170-4000,MAT-00000100,BATCH-46402,Mitsubishi Electric,2026-01-06 08:56:00,SUCCESS
SCAN-00000101,SN-00000101,EXEC-000032,GIS-170-4000,MAT-00000101,BATCH-28208,Siemens Energy,2026-01-06 08:44:00,SUCCESS
SCAN-00000102,SN-00000102,EXEC-000032,GIS-170-4000,MAT-00000102,BATCH-43968,ABB,2026-01-06 09:13:00,SUCCESS
SCAN-00000103,SN-00000103,EXEC-000033,GIS-800-5000,MAT-00000103,BATCH-95698,ABB,2026-01-06 09:29:00,SUCCESS
SCAN-00000104,SN-00000104,EXEC-000034,GIS-072-2500,MAT-00000104,BATCH-82076,Mitsubishi Electric,2026-01-06 09:37:00,SUCCESS
SCAN-00000105,SN-00000105,EXEC-000034,GIS-072-2500,MAT-00000105,BATCH-86376,Schneider Electric,2026-01-06 09:27:00,SUCCESS
SCAN-00000106,SN-00000106,EXEC-000034,GIS-072-2500,MAT-00000106,BATCH-82822,ABB,2026-01-06 09:22:00,SUCCESS
SCAN-00000107,SN-00000107,EXEC-000035,GIS-072-3150,MAT-00000107,BATCH-49215,Hitachi Energy,2026-01-06 09:46:00,SUCCESS
SCAN-00000108,SN-00000108,EXEC-000035,GIS-072-3150,MAT-00000108,BATCH-82219,Hitachi Energy,2026-01-06 10:14:00,SUCCESS
SCAN-00000109,SN-00000109,EXEC-000035,GIS-072-3150,MAT-00000109,BATCH-94925,Hitachi Energy,2026-01-06 10:06:00,SUCCESS
SCAN-00000110,SN-00000110,EXEC-000036,GIS-145-3150,MAT-00000110,BATCH-57790,Schneider Electric,2026-01-06 10:16:00,SUCCESS
SCAN-00000111,SN-00000111,EXEC-000036,GIS-145-3150,MAT-00000111,BATCH-27518,Mitsubishi Electric,2026-01-06 10:04:00,SUCCESS
SCAN-00000112,SN-00000112,EXEC-000037,GIS-170-4000,MAT-00000112,BATCH-19159,Hitachi Energy,2026-01-06 10:46:00,SUCCESS
SCAN-00000113,SN-00000113,EXEC-000037,GIS-170-4000,MAT-00000113,BATCH-14896,Mitsubishi Electric,2026-01-06 10:51:00,SUCCESS
SCAN-00000114,SN-00000114,EXEC-000037,GIS-170-4000,MAT-00000114,BATCH-85337,Mitsubishi Electric,2026-01-06 10:37:00,SUCCESS
SCAN-00000115,SN-00000115,EXEC-000038,GIS-550-5000,MAT-00000115,BATCH-22345,Schneider Electric,2026-01-06 11:03:00,SUCCESS
SCAN-00000116,SN-00000116,EXEC-000039,GIS-072-2500,MAT-00000116,BATCH-84989,Mitsubishi Electric,2026-01-06 11:27:00,SUCCESS
SCAN-00000117,SN-00000117,EXEC-000039,GIS-072-2500,MAT-00000117,BATCH-98637,Mitsubishi Electric,2026-01-06 11:31:00,SUCCESS
SCAN-00000118,SN-00000118,EXEC-000039,GIS-072-2500,MAT-00000118,BATCH-64702,Mitsubishi Electric,2026-01-06 11:36:00,SUCCESS
SCAN-00000119,SN-00000119,EXEC-000039,GIS-072-2500,MAT-00000119,BATCH-76364,Siemens Energy,2026-01-06 11:27:00,SUCCESS
SCAN-00000120,SN-00000120,EXEC-000039,GIS-072-2500,MAT-00000120,BATCH-25844,Schneider Electric,2026-01-06 11:36:00,SUCCESS
SCAN-00000121,SN-00000121,EXEC-000040,GIS-420-4000,MAT-00000121,BATCH-53780,Hitachi Energy,2026-01-06 11:23:00,SUCCESS
SCAN-00000122,SN-00000122,EXEC-000040,GIS-420-4000,MAT-00000122,BATCH-42550,ABB,2026-01-06 11:23:00,SUCCESS
SCAN-00000123,SN-00000123,EXEC-000041,GIS-145-3150,MAT-00000123,BATCH-74741,ABB,2026-01-06 11:47:00,SUCCESS
SCAN-00000124,SN-00000124,EXEC-000041,GIS-145-3150,MAT-00000124,BATCH-78878,Siemens Energy,2026-01-06 12:07:00,SUCCESS
SCAN-00000125,SN-00000125,EXEC-000041,GIS-145-3150,MAT-00000125,BATCH-15971,ABB,2026-01-06 12:09:00,SUCCESS
SCAN-00000126,SN-00000126,EXEC-000042,GIS-145-4000,MAT-00000126,BATCH-50394,Siemens Energy,2026-01-06 12:40:00,SUCCESS
SCAN-00000127,SN-00000127,EXEC-000042,GIS-145-4000,MAT-00000127,BATCH-59704,Mitsubishi Electric,2026-01-06 12:26:00,SUCCESS
SCAN-00000128,SN-00000128,EXEC-000042,GIS-145-4000,MAT-00000128,BATCH-54494,ABB,2026-01-06 12:19:00,SUCCESS
SCAN-00000129,SN-00000129,EXEC-000042,GIS-145-4000,MAT-00000129,BATCH-89987,Siemens Energy,2026-01-06 12:08:00,SUCCESS
SCAN-00000130,SN-00000130,EXEC-000043,GIS-072-3150,MAT-00000130,BATCH-61397,ABB,2026-01-06 12:32:00,SUCCESS
SCAN-00000131,SN-00000131,EXEC-000043,GIS-072-3150,MAT-00000131,BATCH-33086,Mitsubishi Electric,2026-01-06 12:55:00,SUCCESS
SCAN-00000132,SN-00000132,EXEC-000043,GIS-072-3150,MAT-00000132,BATCH-65974,Mitsubishi Electric,2026-01-06 12:30:00,SUCCESS
SCAN-00000133,SN-00000133,EXEC-000043,GIS-072-3150,MAT-00000133,BATCH-42422,Mitsubishi Electric,2026-01-06 12:30:00,SUCCESS
SCAN-00000134,SN-00000134,EXEC-000043,GIS-072-3150,MAT-00000134,BATCH-49011,Siemens Energy,2026-01-06 12:29:00,SUCCESS
SCAN-00000135,SN-00000135,EXEC-000044,GIS-145-4000,MAT-00000135,BATCH-89714,ABB,2026-01-06 13:01:00,SUCCESS
SCAN-00000136,SN-00000136,EXEC-000044,GIS-145-4000,MAT-00000136,BATCH-94159,ABB,2026-01-06 13:03:00,SUCCESS
SCAN-00000137,SN-00000137,EXEC-000045,GIS-072-3150,MAT-00000137,BATCH-10353,Siemens Energy,2026-01-06 13:12:00,SUCCESS
SCAN-00000138,SN-00000138,EXEC-000045,GIS-072-3150,MAT-00000138,BATCH-67193,ABB,2026-01-06 13:16:00,SUCCESS
SCAN-00000139,SN-00000139,EXEC-000045,GIS-072-3150,MAT-00000139,BATCH-11346,Mitsubishi Electric,2026-01-06 13:10:00,SUCCESS
SCAN-00000140,SN-00000140,EXEC-000045,GIS-072-3150,MAT-00000140,BATCH-34771,Hitachi Energy,2026-01-06 13:40:00,SUCCESS
SCAN-00000141,SN-00000141,EXEC-000045,GIS-072-3150,MAT-00000141,BATCH-57380,ABB,2026-01-06 13:02:00,SUCCESS
SCAN-00000142,SN-00000142,EXEC-000046,GIS-072-3150,MAT-00000142,BATCH-90080,Mitsubishi Electric,2026-01-06 13:26:00,SUCCESS
SCAN-00000143,SN-00000143,EXEC-000046,GIS-072-3150,MAT-00000143,BATCH-84782,Siemens Energy,2026-01-06 13:35:00,SUCCESS
SCAN-00000144,SN-00000144,EXEC-000046,GIS-072-3150,MAT-00000144,BATCH-94042,ABB,2026-01-06 13:54:00,SUCCESS
SCAN-00000145,SN-00000145,EXEC-000046,GIS-072-3150,MAT-00000145,BATCH-39208,Siemens Energy,2026-01-06 13:44:00,SUCCESS
SCAN-00000146,SN-00000146,EXEC-000047,GIS-420-5000,MAT-00000146,BATCH-55021,Mitsubishi Electric,2026-01-07 06:18:00,SUCCESS
SCAN-00000147,SN-00000147,EXEC-000048,GIS-145-4000,MAT-00000147,BATCH-79318,Siemens Energy,2026-01-07 06:45:00,SUCCESS
SCAN-00000148,SN-00000148,EXEC-000048,GIS-145-4000,MAT-00000148,BATCH-98087,Schneider Electric,2026-01-07 06:59:00,SUCCESS
SCAN-00000149,SN-00000149,EXEC-000049,GIS-420-4000,MAT-00000149,BATCH-75372,ABB,2026-01-07 06:59:00,SUCCESS
SCAN-00000150,SN-00000150,EXEC-000049,GIS-420-4000,MAT-00000150,BATCH-22689,Siemens Energy,2026-01-07 06:50:00,SUCCESS
SCAN-00000151,SN-00000151,EXEC-000050,GIS-072-3150,MAT-00000151,BATCH-24461,Siemens Energy,2026-01-07 07:32:00,SUCCESS
SCAN-00000152,SN-00000152,EXEC-000050,GIS-072-3150,MAT-00000152,BATCH-60737,Schneider Electric,2026-01-07 07:40:00,SUCCESS
SCAN-00000153,SN-00000153,EXEC-000050,GIS-072-3150,MAT-00000153,BATCH-13225,Hitachi Energy,2026-01-07 07:24:00,SUCCESS
SCAN-00000154,SN-00000154,EXEC-000050,GIS-072-3150,MAT-00000154,BATCH-30504,ABB,2026-01-07 07:31:00,SUCCESS
SCAN-00000155,SN-00000155,EXEC-000050,GIS-072-3150,MAT-00000155,BATCH-24251,Hitachi Energy,2026-01-07 07:21:00,SUCCESS
SCAN-00000156,SN-00000156,EXEC-000051,GIS-072-2500,MAT-00000156,BATCH-83087,Schneider Electric,2026-01-07 07:44:00,SUCCESS
SCAN-00000157,SN-00000157,EXEC-000051,GIS-072-2500,MAT-00000157,BATCH-64311,Siemens Energy,2026-01-07 07:27:00,SUCCESS
SCAN-00000158,SN-00000158,EXEC-000051,GIS-072-2500,MAT-00000158,BATCH-56283,Hitachi Energy,2026-01-07 07:40:00,SUCCESS
SCAN-00000159,SN-00000159,EXEC-000051,GIS-072-2500,MAT-00000159,BATCH-42571,Schneider Electric,2026-01-07 07:35:00,SUCCESS
SCAN-00000160,SN-00000160,EXEC-000052,GIS-550-5000,MAT-00000160,BATCH-72878,Hitachi Energy,2026-01-07 08:09:00,SUCCESS
SCAN-00000161,SN-00000161,EXEC-000053,GIS-072-2500,MAT-00000161,BATCH-10517,Hitachi Energy,2026-01-07 08:25:00,SUCCESS
SCAN-00000162,SN-00000162,EXEC-000053,GIS-072-2500,MAT-00000162,BATCH-41347,Hitachi Energy,2026-01-07 08:27:00,SUCCESS
SCAN-00000163,SN-00000163,EXEC-000053,GIS-072-2500,MAT-00000163,BATCH-87569,ABB,2026-01-07 08:12:00,SUCCESS
SCAN-00000164,SN-00000164,EXEC-000053,GIS-072-2500,MAT-00000164,BATCH-52729,ABB,2026-01-07 08:28:00,SUCCESS
SCAN-00000165,SN-00000165,EXEC-000053,GIS-072-2500,MAT-00000165,BATCH-79935,Hitachi Energy,2026-01-07 08:37:00,SUCCESS
SCAN-00000166,SN-00000166,EXEC-000054,GIS-145-4000,MAT-00000166,BATCH-73985,Hitachi Energy,2026-01-07 08:45:00,SUCCESS
SCAN-00000167,SN-00000167,EXEC-000054,GIS-145-4000,MAT-00000167,BATCH-36932,Hitachi Energy,2026-01-07 08:54:00,SUCCESS
SCAN-00000168,SN-00000168,EXEC-000054,GIS-145-4000,MAT-00000168,BATCH-54346,Hitachi Energy,2026-01-07 08:54:00,SUCCESS
SCAN-00000169,SN-00000169,EXEC-000055,GIS-170-4000,MAT-00000169,BATCH-59086,Schneider Electric,2026-01-07 09:13:00,SUCCESS
SCAN-00000170,SN-00000170,EXEC-000055,GIS-170-4000,MAT-00000170,BATCH-36522,Siemens Energy,2026-01-07 09:05:00,SUCCESS
SCAN-00000171,SN-00000171,EXEC-000056,GIS-245-4000,MAT-00000171,BATCH-80493,Mitsubishi Electric,2026-01-07 09:11:00,SUCCESS
SCAN-00000172,SN-00000172,EXEC-000056,GIS-245-4000,MAT-00000172,BATCH-55902,Siemens Energy,2026-01-07 09:13:00,SUCCESS
SCAN-00000173,SN-00000173,EXEC-000056,GIS-245-4000,MAT-00000173,BATCH-63575,Schneider Electric,2026-01-07 09:33:00,SUCCESS
SCAN-00000174,SN-00000174,EXEC-000057,GIS-145-3150,MAT-00000174,BATCH-45150,Schneider Electric,2026-01-07 09:55:00,SUCCESS
SCAN-00000175,SN-00000175,EXEC-000057,GIS-145-3150,MAT-00000175,BATCH-90799,ABB,2026-01-07 09:24:00,SUCCESS
SCAN-00000176,SN-00000176,EXEC-000057,GIS-145-3150,MAT-00000176,BATCH-70322,Schneider Electric,2026-01-07 09:47:00,SUCCESS
SCAN-00000177,SN-00000177,EXEC-000057,GIS-145-3150,MAT-00000177,BATCH-27835,ABB,2026-01-07 09:57:00,SUCCESS
SCAN-00000178,SN-00000178,EXEC-000058,GIS-145-3150,MAT-00000178,BATCH-60985,Schneider Electric,2026-01-07 09:41:00,SUCCESS
SCAN-00000179,SN-00000179,EXEC-000058,GIS-145-3150,MAT-00000179,BATCH-84944,ABB,2026-01-07 10:07:00,SUCCESS
SCAN-00000180,SN-00000180,EXEC-000058,GIS-145-3150,MAT-00000180,BATCH-96985,Siemens Energy,2026-01-07 10:00:00,SUCCESS
SCAN-00000181,SN-00000181,EXEC-000058,GIS-145-3150,MAT-00000181,BATCH-14463,Siemens Energy,2026-01-07 10:04:00,SUCCESS
