program_id,product_code,operation_number,operation_name,machine_type,tool_type,target_force_kn,force_tolerance_kn,minimum_force_kn,maximum_force_kn,target_displacement_mm,displacement_tolerance_mm,maximum_cycle_time_sec,active
PP-0038,GIS-420-5000,2,PRESS_FIT_2,Press Fitting Machine,Press Tool,185.0,5.0,180.0,190.0,25.0,1.5,58,True
PP-0039,GIS-420-5000,3,PRESS_FIT_3,Press Fitting Machine,Press Tool,185.0,5.0,180.0,190.0,25.0,1.5,58,True
PP-0040,GIS-420-5000,4,PRESS_FIT_4,Press Fitting Machine,Press Tool,185.0,5.0,180.0,190.0,25.0,1.5,58,True
PP-0041,GIS-550-5000,1,PRESS_FIT_1,Press Fitting Machine,Press Tool,195.0,5.0,190.0,200.0,25.0,1.5,62,True
PP-0042,GIS-550-5000,2,PRESS_FIT_2,Press Fitting Machine,Press Tool,195.0,5.0,190.0,200.0,25.0,1.5,62,True
PP-0043,GIS-550-5000,3,PRESS_FIT_3,Press Fitting Machine,Press Tool,195.0,5.0,190.0,200.0,25.0,1.5,62,True
PP-0044,GIS-550-5000,4,PRESS_FIT_4,Press Fitting Machine,Press Tool,195.0,5.0,190.0,200.0,25.0,1.5,62,True
PP-0045,GIS-800-5000,1,PRESS_FIT_1,Press Fitting Machine,Press Tool,205.0,5.0,200.0,210.0,25.0,1.5,70,True
PP-0046,GIS-800-5000,2,PRESS_FIT_2,Press Fitting Machine,Press Tool,205.0,5.0,200.0,210.0,25.0,1.5,70,True
PP-0047,GIS-800-5000,3,PRESS_FIT_3,Press Fitting Machine,Press Tool,205.0,5.0,200.0,210.0,25.0,1.5,70,True
PP-0048,GIS-800-5000,4,PRESS_FIT_4,Press Fitting Machine,Press Tool,205.0,5.0,200.0,210.0,25.0,1.5,70,True
